country,gdp_pc_pp,gdp_pc_pp_B,gdp_pc_pp_2015_1,gdp_pd_pp_2005,pop,share1,urbanization_rate,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax
Bulgaria,17000.16725,17794.52661,17000.16725,16956.409069999998,7177991.0,0.06,0.73948,1,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.7166666666666667,0.3230784715072762,1.0,0.41998061169999995
Burkina Faso,1596.334538,1642.1858339999999,1596.334538,1561.521915,18105570.0,0.083,0.29859,1,0.2,1.5,0.06,0.8,0.05,0.8,0.4166666666666667,0.40566509188102295,1.0,0.31940687116000005
Burundi,748.4152713,721.1765615,748.4152713,692.6739312000001,11178921.0,0.069,0.12057000000000001,1,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.25,0.4629793127178333,1.0,0.09715804621046881
Cameroon,3289.064546,3346.817793,3289.064546,2938.776214,23344179.0,0.045,0.54381,1,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.5666666666666667,0.41973757460294764,1.0,0.035264928975000005
Canada,43002.40931,43113.68397,43002.40931,42890.8811,35851774.0,0.066,0.81828,1,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,0.8333333333333333,0.3354838938558465,1.0,0.172406
Central African Republic,626.4108725,647.8804448,626.4108725,562.1929716,4900274.0,0.033,0.40037,1,0.2,1.5,0.06,0.8,0.05,0.0,0.0,0.3147438330510679,1.0,0.005826174722000001
Chad,2047.6371789999998,1845.914679,2047.6371789999998,2043.5442309999999,14037472.0,0.049,0.22471,1,0.2,1.5,0.06,0.8,0.05,0.0,0.0,0.7532009944644721,1.0,0.06391485782586533
Chile,22536.61769,22706.720540000002,22536.61769,22145.09481,17948141.0,0.048,0.8953,1,0.2,1.5,0.06,0.8,0.05,0.8,0.925,0.34739411181855295,1.0,0.149239162256
China,13569.89153,14399.44766,13569.89153,13400.26697,1371220000.0,0.052000000000000005,0.55614,1,0.2,1.5,0.06,0.8,0.05,0.8,0.8416666666666667,0.22921637913923992,1.0,0.14838872256005592
Colombia,12985.38313,13124.324840000001,12985.38313,12988.1677,48228704.0,0.038,0.76436,1,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,1.0,0.2797792564799715,1.0,0.08867150089199997
Comoros,1413.059277,1411.152339,1413.059277,1363.563075,788474.0,0.045,0.28296,1,0.2,1.5,0.06,0.8,0.05,0.26666666666666666,0.16666666666666666,0.197958724460889,1.0,0.027372903065
"Congo, Dem. Rep.",750.497342,743.8943423999999,750.497342,736.6802449,77266814.0,0.055,0.42494,1,0.2,1.5,0.06,0.8,0.05,0.4,0.375,0.23705600185809048,1.0,0.029229570749999993
"Congo, Rep.",5542.892982,5301.395941,5542.892982,5993.153101,4620330.0,0.042,0.6538,1,0.2,1.5,0.06,0.8,0.05,0.0,0.125,0.37275342390232385,1.0,0.140770428262
Costa Rica,14914.20675,15401.4925,14914.20675,14471.786409999999,4807850.0,0.043,0.7682100000000001,1,0.2,1.5,0.06,0.8,0.05,0.9333333333333333,1.0,0.48189675491736383,1.0,0.16714466270300002
Cote d'Ivoire,3241.612056,3424.7642100000003,3241.612056,3289.988043,22701556.0,0.057,0.5418,1,0.2,1.5,0.06,0.8,0.05,0.4,0.45,0.5759764393620561,1.0,0.09717874193483547
Croatia,20759.04815,21527.967669999998,20759.04815,20429.99271,4224404.0,0.073,0.5896399999999999,1,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.5583333333333333,0.23052247153165525,1.0,0.290854963
Cyprus,30549.10097,31331.392999999996,30549.10097,30309.634830000003,1165300.0,0.079,0.6692100000000001,1,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.20174778291418224,1.0,0.34509504830000004
Czech Republic,30605.42052,31338.875210000002,30605.42052,29805.33278,10551219.0,0.09699999999999999,0.72992,1,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.9,0.23979983157078164,1.0,0.445818471754
Denmark,45458.69715,45991.224780000004,45458.69715,43415.229419999996,5676002.0,0.094,0.87676,1,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.9166666666666667,0.23010606402758518,1.0,0.38390131047799997
Dominican Republic,13371.52499,14098.875869999998,13371.52499,13374.90875,10528391.0,0.051,0.7898,1,0.2,1.5,0.06,0.8,0.05,0.6,0.5083333333333333,0.3771503990888722,1.0,0.12330188002700002
