country,hazard,rp,0
Anguilla,surge,5.0,0.005697167441378635
Anguilla,surge,10.0,0.024906766061498612
Anguilla,surge,20.0,0.14708032956766673
Anguilla,surge,50.0,0.21692055558212106
Anguilla,surge,100.0,0.3017848616271927
Anguilla,tsunami,250.0,0.0
Anguilla,tsunami,500.0,3.6557207688545136e-05
Anguilla,tsunami,1000.0,0.0005872133301135073
Anguilla,tsunami,1500.0,0.0006838535214623765
Anguilla,tsunami,2000.0,0.0015604535525874546
Anguilla,tsunami,4000.0,0.003964134128162203
Anguilla,tsunami,5000.0,0.00409600900238235
Anguilla,tsunami,30000.0,0.12194298807595182
Anguilla,wind,0.5,0.0
Anguilla,wind,1.0,0.0
Anguilla,wind,1.5,0.0
Anguilla,wind,2.0,5.448255208286573e-07
Anguilla,wind,3.0,0.00011573880080995105
Anguilla,wind,5.0,0.0029012564318777823
Anguilla,wind,10.0,0.04046905491562998
Anguilla,wind,20.0,0.07952363439082548
Anguilla,wind,50.0,0.2275081082398786
Anguilla,wind,100.0,0.5310427504617751
Antigua and Barbuda,earthquake,0.5,5.874028722113768e-05
Antigua and Barbuda,earthquake,1.0,0.000392273090548118
Antigua and Barbuda,earthquake,1.5,0.0010649574682650177
Antigua and Barbuda,earthquake,2.0,0.0019235796581187183
Antigua and Barbuda,earthquake,3.0,0.004148811931158643
Antigua and Barbuda,earthquake,5.0,0.008415730736873336
Antigua and Barbuda,earthquake,10.0,0.017125994567634337
Antigua and Barbuda,earthquake,20.0,0.025569603668548754
Antigua and Barbuda,earthquake,50.0,0.034804938221488904
Antigua and Barbuda,earthquake,100.0,0.05373724044841133
Antigua and Barbuda,earthquake,250.0,0.09034309295727266
Antigua and Barbuda,earthquake,500.0,0.12994499641607832
Antigua and Barbuda,earthquake,1000.0,0.1998713429384041
Antigua and Barbuda,earthquake,1500.0,0.2146582044914104
Antigua and Barbuda,earthquake,2000.0,0.2524330439677997
Antigua and Barbuda,earthquake,4000.0,0.29567922939172175
Antigua and Barbuda,earthquake,5000.0,0.3735806893270376
Antigua and Barbuda,earthquake,30000.0,0.41476513041966634
Antigua and Barbuda,surge,0.5,0.0
Antigua and Barbuda,surge,1.0,8.610744862350988e-06
Antigua and Barbuda,surge,1.5,6.303499176732716e-05
Antigua and Barbuda,surge,2.0,0.000338973479258975
Antigua and Barbuda,surge,3.0,0.0017160597575498922
Antigua and Barbuda,surge,5.0,0.007804005239521389
Antigua and Barbuda,surge,10.0,0.030236766101909823
Antigua and Barbuda,surge,20.0,0.1207430704325526
Antigua and Barbuda,surge,50.0,0.19028490975475199
Antigua and Barbuda,surge,100.0,0.2546406106672022
Antigua and Barbuda,tsunami,250.0,1.0511361685331294e-06
Antigua and Barbuda,tsunami,500.0,0.001122003578182558
Antigua and Barbuda,tsunami,1000.0,0.003447335584944971
Antigua and Barbuda,tsunami,1500.0,0.005285791398069094
Antigua and Barbuda,tsunami,2000.0,0.006749989799513511
Antigua and Barbuda,tsunami,4000.0,0.01121768065456193
Antigua and Barbuda,tsunami,5000.0,0.012418755473796445
Antigua and Barbuda,tsunami,30000.0,0.08591060629322286
Antigua and Barbuda,wind,0.5,0.0
Antigua and Barbuda,wind,1.0,0.0
Antigua and Barbuda,wind,1.5,0.0
Antigua and Barbuda,wind,2.0,1.3955980824537707e-05
Antigua and Barbuda,wind,3.0,0.0006131521785276003
Antigua and Barbuda,wind,5.0,0.0071483137534705315
Antigua and Barbuda,wind,10.0,0.070571235330298
Antigua and Barbuda,wind,20.0,0.20634022868564222
Antigua and Barbuda,wind,50.0,0.7867969089237778
Antigua and Barbuda,wind,100.0,0.9033737113157616
Argentina,earthquake,0.1,8.52561778655249e-06
Argentina,earthquake,0.5,6.454160920827838e-05
Argentina,earthquake,1.0,0.0001469443947911583
Argentina,earthquake,1.5,0.00023189510289239225
Argentina,earthquake,2.0,0.0003287332609891531
Argentina,earthquake,3.0,0.0005325015022263138
Argentina,earthquake,5.0,0.000877980470741111
Argentina,earthquake,10.0,0.001649989361889026
Argentina,earthquake,20.0,0.003027811784579923
Argentina,earthquake,50.0,0.006146604752303984
Argentina,earthquake,100.0,0.009321657491987542
Argentina,earthquake,250.0,0.014966181325519601
Argentina,earthquake,500.0,0.018119254743345848
Argentina,earthquake,1000.0,0.022299466211118328
Argentina,earthquake,1500.0,0.025285059294946673
Argentina,earthquake,2000.0,0.02644901231172074
Argentina,earthquake,4000.0,0.03155870258288526
Argentina,earthquake,5000.0,0.033589525653033935
Argentina,earthquake,30000.0,0.043153715954062075
Argentina,flood,1.5,1.2638303742597314e-05
Argentina,flood,2.0,7.57175452138259e-05
Argentina,flood,3.0,0.0002649862081590605
Argentina,flood,5.0,0.0007883680172920591
Argentina,flood,10.0,0.001655699851424271
Argentina,flood,20.0,0.003074070556947316
Argentina,flood,50.0,0.005418352450961318
Argentina,flood,100.0,0.00793638789050494
Argentina,flood,250.0,0.011999380343205085
Argentina,flood,500.0,0.015600187520347569
Argentina,flood,1000.0,0.020447242724511795
Argentina,flood,1500.0,0.02351042026194222
Argentina,flood,2000.0,0.025113978700410027
Argentina,flood,4000.0,0.027759985825880285
Argentina,flood,5000.0,0.028305639580698178
Argentina,flood,30000.0,0.0329693898508425
Argentina,tsunami,20.0,0.0
Argentina,tsunami,50.0,0.0
Argentina,tsunami,100.0,0.0
Argentina,tsunami,250.0,0.0
Argentina,tsunami,500.0,3.676356148103806e-08
Argentina,tsunami,1000.0,4.5814887600133145e-06
Argentina,tsunami,1500.0,6.322759153260637e-06
Argentina,tsunami,2000.0,8.038610231323185e-06
Argentina,tsunami,4000.0,1.322460804506903e-05
Argentina,tsunami,5000.0,1.5901276351619616e-05
Argentina,tsunami,30000.0,0.0005105438185572193
