country,hazard,rp,0
Algeria,tsunami,2000.0,118.26015141637309
Algeria,tsunami,4000.0,145.22184803734103
Algeria,tsunami,5000.0,159.06884604593535
Andorra,earthquake,2.0,0.008262021444096915
Andorra,earthquake,3.0,0.028283867529648364
Andorra,earthquake,5.0,0.07080869166529022
Andorra,earthquake,10.0,0.15376197439594555
Andorra,earthquake,20.0,0.29353422526387685
Andorra,earthquake,50.0,0.6083639720616794
Andorra,earthquake,100.0,1.1787163710467672
Andorra,earthquake,250.0,3.5074311151562902
Andorra,earthquake,500.0,7.860240609100386
Andorra,earthquake,1000.0,16.627116137752086
Andorra,earthquake,1500.0,32.34114609233886
Andorra,earthquake,2000.0,39.320167610317434
Andorra,earthquake,4000.0,87.00658679953054
Andorra,earthquake,5000.0,101.55740808326269
Andorra,earthquake,30000.0,653.8357277241324
Angola,earthquake,1.5,0.007519637604859266
Angola,earthquake,2.0,0.027203598745065324
Angola,earthquake,3.0,0.11316698854462091
Angola,earthquake,5.0,0.6323719803769933
Angola,earthquake,10.0,3.3139036429476363
Angola,earthquake,20.0,22.383279363179938
Angola,earthquake,50.0,53.963864999174774
Angola,earthquake,100.0,111.57903342262829
Angola,earthquake,250.0,280.31362727401785
Angola,earthquake,500.0,533.4020917889052
Angola,earthquake,1000.0,969.2283639989288
Angola,earthquake,1500.0,1155.41884064859
Angola,earthquake,2000.0,1322.278924335455
Angola,earthquake,4000.0,1833.0392798635596
Angola,earthquake,5000.0,2063.398881712603
Angola,earthquake,30000.0,2755.972540983734
Angola,flood,1.5,0.00015698758450037245
Angola,flood,2.0,0.2641144626528662
Angola,flood,3.0,7.997179103557252
Angola,flood,5.0,124.69221023782823
Angola,flood,10.0,599.1022576033906
Angola,flood,20.0,1676.148465502553
Angola,flood,50.0,2961.0157087808925
Angola,flood,100.0,3284.725245113866
Angola,flood,250.0,3749.6445784171265
Angola,flood,500.0,4049.897595116559
Angola,flood,1000.0,4271.339745251481
Angola,flood,1500.0,5470.330192995672
Angola,flood,2000.0,5633.769949538486
Angola,flood,4000.0,5895.993778792932
Angola,flood,5000.0,6050.656219041857
Angola,flood,30000.0,6413.481638516212
Angola,tsunami,250.0,0.0
Angola,tsunami,500.0,0.0
Angola,tsunami,1000.0,0.0
Angola,tsunami,1500.0,0.0
Angola,tsunami,2000.0,0.09273256446904649
Angola,tsunami,4000.0,0.7982102443050236
Angola,tsunami,5000.0,1.2653930737198664
Anguilla,earthquake,0.5,0.10284001371380831
Anguilla,earthquake,1.0,0.27372986693191037
Anguilla,earthquake,1.5,0.6014652484083612
Anguilla,earthquake,2.0,0.9432826840976883
Anguilla,earthquake,3.0,2.0546244344902496
Anguilla,earthquake,5.0,4.936183478526277
Anguilla,earthquake,10.0,14.102784240925532
Anguilla,earthquake,20.0,30.30739585018688
Anguilla,earthquake,50.0,56.96794929809182
Anguilla,earthquake,100.0,67.48474111768955
Anguilla,earthquake,250.0,96.95274642909547
Anguilla,earthquake,500.0,127.69566281937605
Anguilla,earthquake,1000.0,203.14714787064813
Anguilla,earthquake,1500.0,259.99526751135676
Anguilla,earthquake,2000.0,298.29173811832175
Anguilla,earthquake,4000.0,393.99216142369494
Anguilla,earthquake,5000.0,473.05474704135617
Anguilla,earthquake,30000.0,779.6096189197473
Anguilla,surge,0.5,0.0
Anguilla,surge,1.0,0.0017927361469786296
Anguilla,surge,1.5,0.03558064121898246
Anguilla,surge,2.0,0.2666610076977746
Anguilla,surge,3.0,1.0498350013440452
Anguilla,surge,5.0,4.930875631843444
Anguilla,surge,10.0,21.556706399162806
Anguilla,surge,20.0,127.29743691949727
Anguilla,surge,50.0,187.74387317410347
Anguilla,surge,100.0,261.1935905988888
Anguilla,tsunami,250.0,0.0
Anguilla,tsunami,500.0,0.03164011702560506
Anguilla,tsunami,1000.0,0.5082307883599202
Anguilla,tsunami,1500.0,0.5918724874116011
Anguilla,tsunami,2000.0,1.3505663079502315
Anguilla,tsunami,4000.0,3.430942231387875
Anguilla,tsunami,5000.0,3.5450794075259147
Anguilla,tsunami,30000.0,105.54116840778401
Anguilla,wind,0.5,0.0
Anguilla,wind,1.0,0.0
Anguilla,wind,1.5,0.0
Anguilla,wind,2.0,0.0004715443089751196
Anguilla,wind,3.0,0.10017146914580939
Anguilla,wind,5.0,2.5110258367644933
Anguilla,wind,10.0,35.02580515325809
Anguilla,wind,20.0,68.8273874707219
Anguilla,wind,50.0,196.90735764918193
Anguilla,wind,100.0,459.61537635366454
Antigua and Barbuda,earthquake,0.5,0.36755501182595257
Antigua and Barbuda,earthquake,1.0,2.454566486755833
Antigua and Barbuda,earthquake,1.5,6.663747716600012
Antigua and Barbuda,earthquake,2.0,12.036395758949677
Antigua and Barbuda,earthquake,3.0,25.960319408719663
Antigua and Barbuda,earthquake,5.0,52.65966778253016
Antigua and Barbuda,earthquake,10.0,107.16231454811266
Antigua and Barbuda,earthquake,20.0,159.99642533917344
Antigua and Barbuda,earthquake,50.0,217.78459188394032
Antigua and Barbuda,earthquake,100.0,336.2494972854397
Antigua and Barbuda,earthquake,250.0,565.3029321306127
Antigua and Barbuda,earthquake,500.0,813.1035266243628
Antigua and Barbuda,earthquake,1000.0,1250.6529554550466
Antigua and Barbuda,earthquake,1500.0,1343.1786363820577
