country,income_cat,n,c,axfin,gamma_SP,k,fa,shew
Netherlands,nonpoor,0.8,53061.693211724996,0.6671163,1.1102580016989407,213078.0790433843,0.021187178804610896,1.0
Netherlands,poor,0.2,20225.048453099997,0.485505,0.5589679932042371,68295.62812962003,0.02322349805182754,1.0
Nicaragua,nonpoor,0.8,5884.882348734998,0.1150786,1.147297140257474,19747.275628984833,0.024255660949299936,0.6000000000000002
Nicaragua,poor,0.2,1265.0326650599998,0.02887823,0.4108114389701035,3826.070686369339,0.025060654033372747,0.6000000000000002
Niger,nonpoor,0.8,1042.52819794825,0.02122553,1.1564902336374205,4462.00749197462,0.02977303805958477,0.6000000000000002
Niger,poor,0.2,352.7861147069999,0.01784597,0.3740390654503183,1514.3316345195617,0.01654811227001978,0.6000000000000002
Nigeria,nonpoor,0.8,6705.531141347499,0.3224891,1.2374409651553866,7671.367014391785,0.005586113923723236,0.8000000000000004
Nigeria,poor,0.2,1531.07264961,0.1970295,0.050236139378453566,1768.4626807613738,0.005387400742642054,0.8000000000000004
Norway,nonpoor,0.8,72809.42626912499,0.8089857,1.0927670578833806,220641.30775498948,0.00193631189479735,0.8000000000000003
Norway,poor,0.2,28803.729073499995,0.7495815,0.6289317684664778,70076.01533424803,0.00193631189479735,0.8000000000000003
Pakistan,nonpoor,0.8,5329.619362665,0.04381021,1.1873877774466484,14049.312412279363,0.013050087651840226,0.6000000000000002
Pakistan,poor,0.2,2160.0219443399997,0.01694613,0.2504488902134063,6126.662133306488,0.013869882119268422,0.6000000000000002
Panama,nonpoor,0.8,24964.216923975,0.2403679,1.179391190030678,46351.828081889675,0.006025457224690773,0.6000000000000002
Panama,poor,0.2,3514.6309541000005,0.1483164,0.28243523987728864,5935.385271469202,0.007794975965751635,0.6000000000000002
Paraguay,nonpoor,0.8,10334.746894312499,0.14778729999999998,1.1598994528050424,28214.55113656594,0.011143852599197672,0.8000000000000004
Paraguay,poor,0.2,1857.4466727499998,0.02127697,0.36040218877982977,4436.327657001336,0.012372513931045541,0.8000000000000004
Peru,nonpoor,0.8,14018.060272775,0.1674962,1.1998704833475948,51786.69112086386,0.07222790426791766,0.6000000000000002
Peru,poor,0.2,2765.3676089,0.05837516,0.20051806660962157,10610.071743423576,0.0698248856423856,0.6000000000000002
Philippines,nonpoor,0.8,8026.075145804998,0.21633840000000001,1.181201348144928,29228.63933056386,0.10326919912136914,0.6000000000000002
Philippines,poor,0.2,2268.61224678,0.04855937,0.27519460742028795,8691.179716874476,0.10257292951970809,0.6000000000000002
Poland,nonpoor,0.8,29063.3455345625,0.28244400000000003,1.1289579905598843,71533.41557685198,0.018406662829557063,1.0
Poland,poor,0.2,10246.48961175,0.09776094,0.4841680377604624,20011.221470082994,0.01748324144341333,1.0
Portugal,nonpoor,0.8,31031.3853762,0.3085544,1.1474488245183858,165375.79513211612,0.010535672850110261,0.8000000000000004
Portugal,poor,0.2,8913.6240952,0.160451,0.41020470192645664,37811.26423179171,0.011356817652849313,0.8000000000000004
Romania,nonpoor,0.8,23395.706593175,0.18426589999999998,1.1020093100494672,89449.42698902529,0.013808123951590194,0.8000000000000004
Romania,poor,0.2,9142.559327300001,0.05571223,0.591962759802132,25866.674931084894,0.014683835767111197,0.8000000000000004
Russian Federation,nonpoor,0.8,28531.135004312502,0.18236010000000002,1.0687419749653995,84095.7539837991,0.014250236807902225,0.0
Russian Federation,poor,0.2,8458.209732750001,0.11406240000000001,0.725032100138402,14692.98115283705,0.014623016234235814,0.0
Rwanda,nonpoor,0.8,2033.3261826899993,0.3914391,1.186822478579569,2853.1151102343765,0.01993658443518349,0.8000000000000004
Rwanda,poor,0.2,446.13063923999994,0.06397243,0.25271008568172504,627.5373842985466,0.013295284067097748,0.8000000000000004
Senegal,nonpoor,0.8,2692.4105914012503,0.1060924,1.208991728548784,11806.47398132688,0.003299083456355931,0.6000000000000002
Senegal,poor,0.2,699.625329395,0.008773695,0.16403308580486428,3475.9387219886917,0.002620514082413716,0.6000000000000002
Serbia,nonpoor,0.8,15103.497636499998,0.11498039999999998,1.1107810620117473,69566.15267743528,0.02953718106371959,0.4000000000000002
Serbia,poor,0.2,5975.010053999999,0.0419454,0.5568757519530104,23338.441544444944,0.03215301211124292,0.4000000000000002
Sierra Leone,nonpoor,0.8,1515.0145298662499,0.1585936,1.170484042485089,3721.7009484209643,0.006766762340827447,0.8000000000000004
Sierra Leone,poor,0.2,519.809545535,0.03622707,0.31806383005964284,1285.2720396816028,0.006716179443317848,0.8000000000000004
Slovak Republic,nonpoor,0.8,32378.281236937502,0.5120568,1.1336213596275408,106452.0414471314,0.013708031094732271,0.8000000000000004
Slovak Republic,poor,0.2,12031.273902249999,0.33115959999999994,0.4655145614898368,36903.590198034384,0.010926781224538157,0.8000000000000004
Slovenia,nonpoor,0.8,32812.6480984,0.3861343,1.0436022642881697,154723.17986026232,0.027460830668931138,1.0
