country,gdp_pc_pp,gdp_pc_pp_B,gdp_pc_pp_2015_1,gdp_pd_pp_2005,pop,share1,share1_orig,urbanization_rate,axfin_p,axfin_r,social_p,social_r
Guam,,,,,169885,,,0.94516,,,,
Guatemala,7292.719104,7366.76848,7292.719104,7252.949966,16342897,0.045,0.0387,0.51571,0.06985804,0.2047981,0.11104015,0.036367663
Guinea,1753.063116,1823.338788,1753.063116,1135.48655,12608590,0.076,0.0756,0.37161,0.005424729,0.0443864,,
Guinea-Bissau,1446.468649,1491.681953,1446.468649,1367.298905,1844325,0.045,0.0449,0.49332,,,,
Guyana,7074.207137,7266.335285,7074.207137,7064.450024,767085,,,0.28553,,,,
Haiti,1651.228445,1653.961848,1651.228445,1658.413203,10711067,0.055,0.0198,0.58645,0.04369855,0.1275524,0.010298066,0.014338184
Heavily indebted poor countries (HIPC),2067.845758,2105.055137,2067.845758,2052.315192,721104105,,,0.345858728,,,,
High income,42861.56845,43342.48086,42861.56845,42260.76593,1187189841,,,0.811168724,0.3640571,0.5378352,,
Honduras,4311.176397,4392.265947,4311.176397,4785.086301,8075060,0.036,0.031,0.5473,0.06635398,0.1964441,0.257948566,0.134980002
"Hong Kong SAR, China",53595.24481,54353.90743,53595.24481,53379.73681,7305700,,,1,0.3451638,0.6087457,,
Hungary,25034.45073,25664.136,25034.45073,24474.48885,9844686,0.078,0.078,0.71227,0.1423596,0.2304348,0.801483887,0.397449838
IBRD only,11656.7991,12078.51792,11656.7991,11643.76409,4542580688,,,0.536177108,,,,
IDA & IBRD total,42674.424,45116.23121,42674.424,9459.182479,6183634830,0.097,,0.487994166,,,,
IDA blend,9575.170961,9881.969423,9575.170961,5338.461963,585760189,,,0.409848274,,,,
IDA only,4818.184802,4822.693723,4818.184802,2372.472631,1055293953,,,0.323684084,,,,
IDA total,2560.838907,2627.94367,2560.838907,3445.996685,1641054142,,,0.35447337,,,,
Iceland,3319.319164,3364.10241,3319.319164,42449.18713,330823,,0.0918,0.94137,,,,
India,5754.064597,6092.648097,5754.064597,5730.137505,1311050527,0.083,0.082,0.32747,0.07480032,0.1883363,,
Indonesia,10367.6953,10764.548,10367.6953,10385.32332,257563815,0.072,0.0763,0.53742,0.1379658,0.3511817,,
"Iran, Islamic Rep.",16500.90051,18497.67701,16500.90051,16507.02425,79109272,0.063,0.0681,0.73375,0.1516682,0.2603003,,
Iraq,14928.8864,16086.91806,14928.8864,14017.77379,36423395,0.088,0.088,0.69471,0.0331376,0.03651581,0.129552458,0.112473861
Ireland,61543.2053,63301.15414,61543.2053,51899.19989,4640703,0.079,0.0773,0.63241,0.4005193,0.5566727,,
Isle of Man,,,,,87780,,,0.52203,,,,
Israel,32024.35277,32688.4081,32024.35277,31670.69432,8380400,0.047,0.0461,0.9214,0.4204639,0.6097891,,
Italy,34317.57186,34699.86736,34317.57186,33587.12264,60802085,0.062,0.0623,0.68964,0.2017134,0.4406689,,
Jamaica,8095.261867,8179.62034,8095.261867,8528.896333,2725941,,0.0528,0.54788,0.2147204,0.3520919,0.266518589,0.147431475
Japan,37818.09076,38252.30114,37818.09076,35804.2312,126958472,0.074,0.0737,0.93498,0.5732915,0.6250877,,
Jordan,8491.050311,8389.604574,8491.050311,10239.66428,7594547,0.082,0.0819,0.83679,0.01797048,0.05062747,0.247541251,0.202549227
Kazakhstan,23522.29052,23446.56506,23522.29052,24352.8462,17544126,0.1,0.0995,0.53247,0.02605716,0.1153157,0.065644645,0.047124265
Kenya,2835.643662,2925.600917,2835.643662,2901.012941,46050302,,0.0468,0.25622,0.1333483,0.4164474,0.054868519,0.071834484
Kiribati,1967.301514,1955.155323,1967.301514,1749.204476,112423,,0.0616,0.44304,,,0.090930711,0.087785669
"Korea, Dem. People's Rep.",,,,,25155317,,,0.60875,,,,
"Korea, Rep.",34177.65447,34985.84933,34177.65447,34386.57488,50617045,0.073,,0.82474,0.3633893,0.6404362,,
Kosovo,9097.136991,9331.687718,9097.136991,9140.101399,1797151,0.095,0.0939,,0.04933053,0.08574953,0.363187793,0.16831024
Kuwait,68476.32504,68861.7921,68476.32504,67112.99552,3892115,,,0.98342,0.198661,0.2927087,,
Kyrgyz Republic,3237.602937,3293.700997,3237.602937,3224.877613,5957000,0.095,0.0962,0.35707,0.03731649,0.0561118,0.349181831,0.267171014
Lao PDR,5755.059505,6073.223695,5755.059505,5341.30792,6802023,0.076,0.0725,0.38614,0.1325088,0.2385275,0.037284318,0.133475822
Late-demographic dividend,15070.14187,15590.77502,15070.14187,14888.70128,2249154750,,,0.598763031,,,,
Latin America & Caribbean,14502.57194,14314.94806,14502.57194,14651.20611,632959079,,,0.798810387,,,,
Latin America & Caribbean (excluding high income),14038.98011,13844.34933,14038.98011,13700.39166,561948237,,,0.786850456,,,,
Latin America & the Caribbean (IDA & IBRD countries),14425.468,14238.78596,14425.468,14398.66738,616862604,,,0.798752033,,,,
Latvia,23034.53672,23728.51364,23034.53672,22628.43727,1978440,0.071,0.0634,0.67382,0.185183,0.2983719,0.581704539,0.238391554
Least developed countries: UN classification,2382.400074,2431.377991,2382.400074,2348.313803,954218054,,,0.315371993,,,,
Lebanon,13352.71339,13267.8857,13352.71339,13117.25072,5850743,0.079,,0.87792,0.06085023,0.2486327,,
Lesotho,2708.148539,2736.354895,2708.148539,2517.01021,2135022,0.028,0.0284,0.27312,0.02873374,0.1136827,,
Liberia,785.2468867,753.557379,785.2468867,786.916697,4503438,0.077,0.065,0.49701,0.0449625,0.2007491,0.045037934,0.13130819
Libya,,,,13320.82618,6278438,,,0.78554,,,,
Liechtenstein,,,,,37531,,,0.14289,,,,
Lithuania,26970.96093,27943.81512,26970.96093,26396.86808,2910199,0.061,0.0651,0.66508,0.167361,0.3604111,0.76013985,0.207390385
Low & middle income,9407.502921,9713.675881,9407.502921,9209.534781,6116026441,,,0.483999431,0.1481179,0.2765928,,
Low income,1552.327067,1577.683236,1552.327067,1547.924577,638286288,,,0.307400011,0.05052696,0.1328835,,
Lower middle income,6070.37749,6306.897133,6070.37749,6045.065717,2927414098,,,0.389576117,0.07945868,0.1930553,,
Luxembourg,94088.59223,94920.95872,94088.59223,93552.60435,569676,0.079,0.0706,0.9016,0.5098124,0.6614447,,
"Macao SAR, China",100444.5591,97751.78798,100444.5591,104718.2625,587606,,,1,,,,
"Macedonia, FYR",12759.8166,13054.89081,12759.8166,12724.67528,2078453,0.056,0.0539,0.57104,0.07452801,0.1795803,,
Madagascar,1377.168213,1396.669615,1377.168213,1373.344023,24235390,0.057,0.065,0.35105,0.01404179,0.04567038,0.073079869,0.094149712
Malawi,1088.701805,1083.801421,1088.701805,1112.987302,17215232,0.055,0.0545,0.16272,0.04726892,0.08640283,0.016992964,0.023681721
Malaysia,25001.61267,25668.88436,25001.61267,25308.0193,30331007,0.046,0.0456,0.74705,0.255594,0.3924174,0.14714225,0.057730817
Maldives,13705.00532,14231.53413,13705.00532,11892.45882,409163,0.064,0.0649,0.45536,,,0.031145208,0.016503814
Mali,1919.228421,1971.08448,1919.228421,2285.307216,17599694,0.08,0.0797,0.39916,0.008713539,0.04243126,0.024631706,0.052997133
Malta,34272.74845,35705.09569,34272.74845,28821.65842,431333,0.086,,0.95407,0.2980542,0.5080592,,
Marshall Islands,3665.375373,3730.333989,3665.375373,3627.846116,52993,,,0.72684,,,,
Mauritania,3601.61435,3572.28055,3601.61435,3693.542041,4067564,0.075,0.0638,0.59859,0.03751141,0.1524401,,
Mauritius,18864.10566,19567.48966,18864.10566,18333.4202,1262605,0.074,0.0742,0.39671,0.2319739,0.4367753,0.399388542,0.328015384
Mexico,16671.91198,16832.46304,16671.91198,16501.9411,127017224,0.054,0.0486,0.79246,0.07032508,0.1956048,0.51653154,0.264168721
"Micronesia, Fed. Sts.",3271.267021,3253.479755,3271.267021,3177.392579,104460,0.055,0.0162,0.22424,,,0.491136762,0.133409778
Middle East & North Africa,17463.64438,18055.23317,17463.64438,17633.65064,424065257,,,0.642182802,,,,
Middle East & North Africa (IDA & IBRD countries),11507.65731,12155.84221,11507.65731,11660.81488,358138798,,,0.603282278,,,,
Middle East & North Africa (excluding high income),11596.08802,12252.88399,11596.08802,11571.11272,362560941,,,0.605102525,,,,
Middle income,10320.28307,10673.91433,10320.28307,10103.67978,5477740153,,,0.504584194,0.1608289,0.2950469,,
Moldova,4746.784911,4944.399693,4746.784911,4741.824603,3554150,0.097,0.0914,0.44995,0.03550953,0.09047662,0.480448896,0.357766459
Monaco,,,,,37731,,,1,,,,
Mongolia,11411.94211,11361.00642,11411.94211,11470.90486,2959134,0.081,0.0765,0.7204,0.2172667,0.4111103,0.432892154,0.214014776
Montenegro,15289.7174,15737.02113,15289.7174,15010.48497,622388,0.085,0.0712,0.64026,0.02831399,0.07029512,0.326311678,0.334224191
Morocco,7296.934401,7285.908321,7296.934401,7360.856457,34377511,,0.0654,0.60195,0.05141593,0.1725484,,
Mozambique,1118.219536,1128.279294,1118.219536,1115.992707,27977863,0.042,0.0522,0.32214,,,0.228646616,0.076909214
Myanmar,5056.859041,5305.047137,5056.859041,,53897154,0.073,,0.34098,0.06761485,0.1680227,,
Namibia,9964.222994,9852.035111,9964.222994,9800.779947,2458830,0.033,0.0327,0.4666,0.1445373,0.3485483,,
Nauru,12270.29759,12950.52898,12270.29759,,10222,,,1,,,,
Nepal,2314.274881,2297.652539,2314.274881,2313.392778,28513700,0.083,0.0834,0.18615,0.08169342,0.2236811,0.195768863,0.35880763
Netherlands,46494.36426,47269.63295,46494.36426,46374.36827,16936520,0.087,0.0887,0.90496,0.485505,0.6671163,,
New Caledonia,,,,,273000,,,0.7021,,,,
New Zealand,34948.51864,35267.64328,34948.51864,34762.35232,4595700,,,0.86284,0.5940498,0.7801831,,
Nicaragua,4960.912412,5136.841574,4960.912412,4884.150761,6082032,0.051,0.0464,0.58779,0.02887823,0.1150786,0.215024083,0.129087575
Niger,904.5797813,914.4670358,904.5797813,897.3953205,19899120,0.078,0.0893,0.18732,0.01784597,0.02122553,0.059217096,0.061957771
Nigeria,5670.639443,5434.734795,5670.639443,5638.887379,182201962,0.054,0.0537,0.47776,0.1970295,0.3224891,0.002057509,0.011572111
North America,52022.3289,52403.11179,52022.3289,51580.06557,357335829,,,0.816415258,,,,
Northern Mariana Islands,,,,,55070,,,0.89237,,,,
Norway,64008.28683,64139.54705,64008.28683,64450.53861,5195921,0.09,0.093,0.80473,0.7495815,0.8089857,,
OECD members,38404.44506,38835.03153,40138.95172,37657.94264,1280996600,,,0.802736836,,,,
Oman,40138.95172,,23276.40693,35982.75325,4490541,,,0.77641,0.145017,0.2770396,,
Other small states,23276.40693,23232.49766,5259.547587,23533.89327,28650005,,,0.581046818,,,,
Pacific island small states,5259.547587,5285.445798,4695.699879,5346.845308,2351091,,,0.377398808,,,,
Pakistan,4695.699879,4854.632259,14982.40754,4744.848617,188924874,0.092,0.0959,0.38758,0.01694613,0.04381021,0.071182906,0.136776393
Palau,14982.40754,15119.37092,20674.29973,14385.96881,21291,,,0.87071,,,0.14801151,0.10637443
Panama,20674.29973,21334.93968,3866.513529,20885.33945,3929141,0.034,0.0338,0.66592,0.1483164,0.2403679,0.194424715,0.114301584
Papua New Guinea,3866.513529,3878.287729,8639.28685,2723.493095,7619321,0.051,0.0474,0.13005,,,0.004448387,0.001382248
Paraguay,8639.28685,8871.37954,11767.52174,8643.687633,6639123,0.043,0.0426,0.59666,0.02127697,0.1477873,0.253358243,0.146549544
Peru,11767.52174,12071.59238,6874.582566,11672.14235,31376670,0.047,0.0443,0.78609,0.05837516,0.1674962,0.170677893,0.20147589
Philippines,6874.582566,7236.467071,25299.97435,6925.521324,100699395,0.066,0.0592,0.44373,0.04855937,0.2163384,0.188175168,0.228298668
Poland,25299.97435,26035.8379,26607.83312,24835.89804,37999494,0.081,0.0803,0.60539,0.09776094,0.282444,0.576616542,0.394649898
Portugal,26607.83312,27102.6637,40919.62815,26690.06482,10348648,0.067,0.0645,0.63468,0.160451,0.3085544,,
Post-demographic dividend,40919.62815,41401.9381,3492.036075,40589.04001,1097737383,,,0.809708596,,,,
Pre-demographic dividend,3492.036075,3500.515723,35291.80356,3447.67648,850271023,,,0.385949794,,,,
Puerto Rico,35291.80356,34995.49242,119749.4285,33843.60524,3474182,,,0.936,0.1311623,0.3043711,,
Qatar,119749.4285,118207.1346,20545.07714,135321.6922,2235355,,,0.99244,0.181152,0.3209826,,
Romania,20545.07714,21614.68624,24516.54995,19925.53855,19832389,0.089,0.0891,0.54564,0.05571223,0.1842659,0.44718513,0.406191777
Russian Federation,24516.54995,24416.62388,1715.887074,23895.341,144096812,0.069,0.059,0.74008,0.1140624,0.1823601,,
Rwanda,1715.887074,1773.750484,5558.791879,1655.175355,11609666,0.052,0.0513,0.28811,0.06397243,0.3914391,0.074514049,0.076781457
Samoa,5558.791879,5914.281291,56372.36242,5574.067711,193228,0.064,0.0632,0.19098,,,0.227669873,0.145916988
San Marino,56372.36242,56500.46911,2946.796726,,31781,,,0.9419,,,,
Sao Tome and Principe,2946.796726,3001.894005,50723.71265,3030.217162,190344,0.084,0.0838,0.65092,,,,
Saudi Arabia,50723.71265,50458.16985,2293.853539,50283.97349,31540372,,,0.8313,0.08897133,0.2052709,,
Senegal,2293.853539,2379.451264,13277.80012,2287.668448,15129273,0.061,0.0606,0.43721,0.008773695,0.1060924,0.113677953,0.217717006
Serbia,13277.80012,13720.89089,25524.955,12863.07931,7098247,0.09,0.0837,0.55553,0.0419454,0.1149804,0.459366872,0.362485751
Seychelles,25524.955,26319.15863,1315.973533,25667.55405,92900,0.054,0.058,0.53887,,,,
Sierra Leone,1315.973533,1368.829098,80892.06484,1496.944168,6453184,0.079,0.0791,0.39942,0.03622707,0.1585936,0.024101506,0.030431464
