country,_dw_tot_curr,_bbb_complete1_dw_tot_curr,_bbb_incl1_dw_tot_curr,_bbb_fast1_dw_tot_curr,_bbb_fast2_dw_tot_curr,_bbb_fast4_dw_tot_curr,_bbb_fast5_dw_tot_curr,_bbb_50yrstand1_dw_tot_curr
Philippines,41163790311.99566,22939393368.02637,39082102181.15594,35967125716.6905,38610303582.05489,43632156866.188034,46019666395.084,27774233502.51328
Poland,1340095222.6264641,980435781.0657104,1244835861.5019398,1106588779.9092174,1225531512.7540052,1450517558.871918,1557019275.5433002,1297536218.7878883
Portugal,142241605.6478682,119977243.36731528,132910579.36610265,131211430.6561862,136831518.6924195,147453247.6162081,152477168.11571565,139950220.25009626
Romania,2482049913.115142,2012829524.5430212,2372469912.7878714,2203569628.9428096,2345315550.1317105,2614035217.789236,2741515859.209994,2382037486.7392435
Russian Federation,13326715442.018799,8806573647.446674,11362783853.207722,11418748112.43732,12389452463.414831,14232242635.054424,15107625139.774994,12347879861.288069
Rwanda,119904409.82675919,79880085.03471941,115574854.05736698,88181435.62658985,104242229.79151148,135183655.08274654,150094779.35627347,113959462.49882285
Senegal,76258480.2186654,60792240.89831941,68782454.60340425,68607804.24442081,72488614.56476916,79922258.30698845,83484516.81940968,75280534.67798114
Serbia,1710928581.9687212,1357657620.7136075,1661680482.0303743,1553168444.8647559,1633400865.4399428,1785887614.2807121,1858404918.609052,1541402671.70173
Seychelles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sierra Leone,79635261.55012377,54231057.74801304,73005587.0874977,65651609.1211549,72730316.88878874,86373051.11373442,92949947.33812173,72563761.80108614
Slovak Republic,707770062.1924902,576247490.9043329,690677285.626255,617083230.737314,663226113.8516635,750797448.194607,792385040.8567833,679214454.3078156
Slovenia,401915570.29029936,330122312.3623174,385288471.4355639,363959982.5664772,383275460.8672664,419915300.68173003,437307254.3232831,381228798.73404866
Solomon Islands,63365852.32636528,40022199.06479306,59100293.58465605,55233762.690729156,59361729.192785986,67251707.33548044,71024534.73705962,49589696.29094666
South Africa,2941038702.0600476,2300287103.435109,2852557923.4305315,2430395172.430456,2689720029.1973042,3184736138.8831472,3421172021.486244,2887434627.2047844
Spain,1026290988.8739568,858859268.4563782,954158442.7924399,948949713.7795497,988356875.7728056,1062833132.7280487,1098058560.8272402,1004696502.4081777
Sri Lanka,606457304.7439675,458943124.1256135,554294723.3077137,515630781.5851966,561661704.6200805,650068602.5250447,692543736.8603498,595935085.0920806
St. Lucia,59500398.341243796,25551554.610337388,53982469.27082867,41897970.52200293,50846109.9620336,67875170.40959178,75983837.54642846,41496764.30346595
St. Vincent and the Grenadines,25756181.429584652,15184725.584824096,25462947.71923603,19722866.300754346,22789047.22190321,28629029.29199614,31412048.548633724,20018936.82330481
Sudan,545903202.6163254,341146950.03465873,532763749.031485,376844650.3558658,462417167.51011556,627383206.1430521,706933288.0297772,511076682.9239871
Swaziland,80865110.1854992,60635947.13812946,69420852.79057932,74334950.0222758,77654867.2910236,83971058.51998952,86977743.72932035,77680662.54643692
