country,gdp_pc_pp,gdp_pc_pp_A,pop,share1,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dK,dKtot,delta_W,delta_W_tot,average_aid_cost_pc,axfin,c,dc,dc_npv_post,dc_npv_pre,dk,dw,fa,gamma_SP,help_fee,help_needed,help_received,k,n,shew,social,v,v_shew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
Bhutan,8253.293783000005,8105.796967,797765,0.067,0.39377,2804.000223,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.185575394278482,1.0,0.04401946709800002,1.1186265561403412,191.33193703255603,152637922.74677703,4.440883527969868e-06,3.542781447690882,42.0807205438256,0.24155477999999997,41266.46891500001,191.33193703255606,214.02898580238875,214.02898580238877,191.33193703255603,4.440883527969868e-06,0.006964772895356122,0.9999999999999998,42.0807205438256,49.87617830705483,42.0807205438256,222370.36906452087,3.3908999359114125,2.4000000000000004,0.043738370800000016,3.395562306575224,3.069588325144003,226.5642752960733,180745049.0815719,0.02745137653560165,0.844492966874518,0.023182494415339764
Bolivia,6707.9561840000015,6707.9561840000015,10887882,0.039,0.68911,3104.956089,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.4218342004210295,1.0,0.17059334626300007,1.3418117485225833,39.61773331203119,431353205.40886486,1.4699336855635998e-06,16.00446451624158,2.6509613938672487,0.27343408,33539.780920000005,39.61773331203119,53.15954000791797,53.159540007917975,39.61773331203119,1.4699336855635998e-06,0.005496527315875775,0.9999999999999998,2.6509613938672487,2.6509613938672487,2.6509613938672487,79509.39228380298,3.3926878732053227,2.4000000000000004,0.21263727540000002,2.2554168467144113,2.0388968294298273,54.949099801316194,598279314.6429541,0.008191630698540082,0.7209896696266211,0.005906081111043702
Bosnia and Herzegovina,11327.487410000002,11179.34991,3516816,0.077,0.3994,4708.718261,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.32393223235700314,1.0,0.14356445648199992,1.2493272822979196,78.166496519874,274897185.6250372,1.156712502984224e-06,4.067945037894968,12.366077784591278,0.09976816199999997,56637.43705,78.16649651987399,97.65553666392395,97.65553666392395,78.166496519874,1.156712502984224e-06,0.0042667317534458675,0.9999999999999997,12.366077784591278,12.366077784591278,12.366077784591278,174843.47463015144,3.394314945626654,0.0,0.1547600721999999,2.4680943740000005,2.4680943740000005,94.88834239370756,333704840.74366903,0.008376821704514925,0.8237734430595085,0.006900603257423881
Botswana,15723.23706,15513.44193,2250260,0.028,0.5771,6788.042745000002,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.2811780767140953,1.0,0.08310013303600002,1.2089389699717095,47.854409584418875,107684863.71143442,4.5509607212812097e-07,1.0240844872670258,2.9370982819976996,0.30619332,78616.1853,47.854409584418875,57.85306063159165,57.853060631591646,47.854409584418875,4.5509607212812097e-07,0.0013842467713778188,1.0,2.9370982819976996,2.9370982819976996,2.9370982819976996,279595.7146400775,3.398142689742034,3.2000000000000006,0.1121983254,3.266403415957444,2.8483037787148904,61.05363422263873,137386550.94583502,0.003883019380147839,0.783809353754644,0.003043546910970436
Brazil,14023.691619999994,14023.69162,207652865,0.036000000000000004,0.8593299999999999,8649.948492,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.26557501018758395,1.0,0.21376261367200006,1.1941993145009573,27.55912235608091,5722730714.125752,2.8510429932370154e-07,59.20272457838418,3.0378729036453684,0.14558476199999998,70118.45809999997,27.559122356080906,32.91108502587983,32.911085025879835,27.55912235608091,2.8510429932370154e-07,0.0007998110648739211,0.9999999999999998,3.037872903645368,3.0378729036453684,3.0378729036453684,264025.06037926197,3.398932390216656,0.8000000000000002,0.2071562594,3.3026515399850984,3.1969666907055747,32.216675854872626,6689885042.040625,0.002297303500950247,0.8554303516671697,0.00196518314170409
Bulgaria,17794.52661,17709.07519,7127822,0.06,0.74266,7350.795801,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.3230784715072762,1.0,0.4390931068799999,1.2485207651457937,48.42749864858041,345182590.27232176,3.8213702718768585e-07,2.7238047094029856,4.181018098898765,0.17148750599999998,88972.63304999999,48.42749864858041,60.462737666822505,60.462737666822505,48.42749864858041,3.8213702718768585e-07,0.0019296198690760909,0.9999999999999998,4.181018098898765,4.181018098898765,4.181018098898765,275390.16337087075,3.3973662002890097,3.2000000000000006,0.4733378346,2.2413224551999997,1.9544331809344,61.717488730390215,439911273.95722747,0.003468341141242094,0.7846641145775315,0.002721482830645553
Burkina Faso,1642.185834,1594.576777,18646433,0.083,0.30688000000000004,649.7304837,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.40566509188102295,1.0,0.037206592051000006,1.3265373735307222,3.842286715253869,71644941.80277134,1.0930036898443804e-06,20.38062007143601,1.048533546315884,0.09816123199999999,8210.929170000001,3.842286715253869,5.096936927604854,5.096936927604854,3.842286715253869,1.0930036898443804e-06,0.0014888122264812454,0.9999999999999998,1.048533546315884,1.048533546315884,1.048533546315884,20240.659929418267,3.3978832084729724,2.4000000000000004,0.03620367940000001,3.393739601658168,3.067940599898984,4.949101924159327,92283097.43900797,0.0030137283014458924,0.7763603930841523,0.0023397392887593675
Burundi,721.1765615,721.1765615,10524117,0.069,0.12359,285.7274421,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.4629793127178333,1.0,0.10229098596046879,1.3806800555012047,2.949712237977546,31043116.708807535,2.9416489769878227e-06,30.95825800675015,0.46141563266566743,0.04666023,3605.8828074999997,2.949712237977546,4.07260885644342,4.072608856443421,2.949712237977546,2.9416489769878227e-06,0.0038259243104510135,0.9999999999999998,0.46141563266566743,0.4623784024698746,0.46141563266566743,7788.431812065945,3.394980974647353,2.4000000000000004,0.10326718970073563,2.469788850858763,2.2326891211763216,3.876378841042291,40795464.45945347,0.005375076018804156,0.7609452942902815,0.004090138802961563
Cameroon,3346.8177930000006,3045.919165,23439189,0.045,0.54938,1032.648722,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.4197375746029477,1.0,0.018028650735000002,1.3398311415593882,10.204420309195129,239183336.26266307,1.061115452575302e-06,24.87168564373303,1.5694612998839754,0.09980292199999999,16734.088965000003,10.204420309195129,13.672200111820716,13.672200111820716,10.204420309195129,1.061115452575302e-06,0.0042699120981556865,0.9999999999999998,1.5694612998839756,1.5694612998839754,1.5694612998839754,39867.97936979952,3.3947570381943075,3.2000000000000006,0.0161419416,1.8343680960785826,1.599568979780524,13.979345200571027,327664514.2524272,0.0041769065617522924,0.7299641122517169,0.003048991890307883
Canada,43113.68397,43087.75737,36286425,0.066,0.82006,42157.92799,3.0,0.2,1.5,0.06,0.8,0.05,1,1,0.3354838938558465,1.0,0.24114664264000005,1.260239721228972,42.502892428498726,1542278018.3897865,9.105329016000056e-08,3.303998384394099,5.052774316198901,0.66304528,215568.41985,42.502892428498726,53.563833305516226,53.56383330551622,42.502892428498726,9.105329016000056e-08,0.0012965352579387861,0.9999999999999998,5.052774316198901,5.052774316198901,5.052774316198901,642559.6691763307,3.398279782528125,3.2,0.30450452800000005,1.5066764561178578,1.3138218697347723,55.45200319613741,2012154955.0764005,0.0012861810471757145,0.7664807397158074,0.0009858330004476935
