country,gdp_pc_pp,gdp_pc_pp_A,pop,share1,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dK,dKtot,delta_W,delta_W_tot,average_aid_cost_pc,axfin,c,dc,dc_npv_post,dc_npv_pre,dk,dw,fa,gamma_SP,help_fee,help_needed,help_received,k,n,shew,social,v,v_shew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
Belize,7846.015831999998,7831.454486,366954,0.0321,0.43845,4810.565902,1,0.2,1.5,0.06,0.8,0.05,1,1,0.9615481265045698,1.0,0.15088172973340003,1.2950350507821216,81.28028051110778,29826124.05467304,2.3687547312009826e-06,0.8692240236331255,6.723250906144173,0.2545334,39230.07916,81.28028051110778,105.26081219928753,105.26081219928756,81.28028051110778,2.3687547312009826e-06,0.032333120644940795,1.0,6.723250906144174,6.723250906144173,6.723250906144173,40798.87223389389,3.3642005229805987,0.0,0.19982794680000004,1.5420137719325504,1.5420137719325504,112.01095049106304,41102866.32649755,0.014276156572897299,0.7256458422571179,0.01035943366053455
Benin,2009.961384,2009.961384,10872298,0.032,0.44395,789.4404107,1,0.2,1.5,0.06,0.8,0.05,1,1,0.3302533219458435,1.0,0.08277983833600004,1.0884414267194695,4.9047001477134415,53325361.60658454,9.204116463510804e-07,10.006989701799558,0.6631118288538047,0.08237205599999999,10049.806919999999,4.9047001477134415,5.338478826408411,5.33847882640841,4.9047001477134415,9.204116463510804e-07,0.0015139187593753625,0.9999999999999998,0.6631118288538047,0.6631118288538047,0.6631118288538047,30430.60054865402,3.3982643207731154,1.6000000000000003,0.07731285760000003,3.3937396016581673,3.1765402671520437,5.643366480877567,61356362.10331222,0.0028076989567067064,0.8691089200626821,0.002440196208124485
Bhutan,8253.293783000005,8105.796967,797765,0.067,0.39377,2804.000223,1,0.2,1.5,0.06,0.8,0.05,1,1,0.185575394278482,1.0,0.04401946709800002,1.0410950250338622,167.98066252099937,134009093.23606506,3.5468725738072218e-06,2.8295707988433176,38.19350687760688,0.24155477999999997,41266.46891500001,167.98066252099937,174.8838320525046,174.8838320525046,167.98066252099937,3.5468725738072218e-06,0.0061138306652746355,0.9999999999999998,38.19350687760688,43.87821092466284,38.19350687760688,222370.36906452087,3.391996706396455,2.4000000000000004,0.043738370800000016,3.395562306575224,3.069588325144003,180.95376948998964,144358583.91718158,0.021925036748687555,0.9283070642542877,0.020353166497841517
Bolivia,6707.9561840000015,6707.9561840000015,10887882,0.039,0.68911,3104.956089,1,0.2,1.5,0.06,0.8,0.05,1,1,0.4218342004210295,1.0,0.17059334626300007,1.1184116172586664,37.249614363010295,405569405.7299613,1.122275098128259e-06,12.219198839958903,2.4912079199091965,0.27343408,33539.78092000001,37.249614363010295,41.66040144199599,41.66040144199599,37.249614363010295,1.122275098128259e-06,0.005166049689728332,0.9999999999999998,2.491207919909197,2.4912079199091965,2.4912079199091965,79509.39228380298,3.3931264779637025,2.4000000000000004,0.21263727540000002,2.255416846714411,2.0388968294298278,41.95291731676791,456778413.30072564,0.006254202646230031,0.8878909202369634,0.005553049742909633
Bosnia and Herzegovina,11327.487410000002,11179.34991,3516816,0.077,0.3994,4708.718261,1,0.2,1.5,0.06,0.8,0.05,1,1,0.32393223235700314,1.0,0.14356445648199992,1.0863728261278711,73.38691301879743,258088269.89511514,9.277968543314047e-07,3.262890822062354,11.607181173960234,0.09976816199999997,56637.43705000001,73.38691301879743,79.72554809703121,79.72554809703121,73.38691301879743,9.277968543314047e-07,0.004004885732212148,0.9999999999999997,11.607181173960235,11.607181173960234,11.607181173960234,174843.47463015144,3.3946614598731752,0.0,0.1547600721999999,2.4680943740000005,2.4680943740000005,76.10975532682026,267664005.28944674,0.006719032436057261,0.9642247922578285,0.006478657654830924
Botswana,15723.23706,15513.44193,2250260,0.028,0.5771,6788.042745000002,1,0.2,1.5,0.06,0.8,0.05,1,1,0.2811780767140953,1.0,0.08310013303600002,1.072381366204197,47.06830083516293,105915914.63733372,3.840692607328741e-07,0.8642556946567572,2.8879805841338477,0.30619332,78616.1853,47.06830083516292,50.47516875452218,50.47516875452217,47.06830083516293,3.840692607328741e-07,0.001360571734241429,0.9999999999999998,2.8879805841338477,2.8879805841338477,2.8879805841338477,279595.7146400775,3.398173992749727,3.2000000000000006,0.1121983254,3.266403415957444,2.8483037787148904,51.5249979005372,115944641.77566284,0.0032769968234859902,0.9135041776425225,0.002993550288375728
Brazil,14023.691619999994,14023.69162,207652865,0.036000000000000004,0.8593299999999999,8649.948492,1,0.2,1.5,0.06,0.8,0.05,1,1,0.26557501018758395,1.0,0.21376261367200006,1.0672752033830792,27.063607458726608,5619835626.03995,2.416965808776309e-07,50.18898747994428,2.9821438899372112,0.14558476199999998,70118.45809999997,27.063607458726608,28.884317154792257,28.884317154792253,27.063607458726608,2.416965808776309e-07,0.0007851387322214233,0.9999999999999998,2.9821438899372112,2.9821438899372112,2.9821438899372112,264025.06037926197,3.3989516587161064,0.8000000000000002,0.2071562594,3.3026515399850984,3.1969666907055747,27.311620413429214,5671336226.641061,0.0019475342979218496,0.990919141707877,0.001929849014943372
Bulgaria,17794.52661,17709.07519,7127822,0.06,0.74266,7350.795801,1,0.2,1.5,0.06,0.8,0.05,1,1,0.3230784715072762,1.0,0.4390931068799999,1.0860934296450326,47.30362436925972,337171814.45894563,3.21105669866772e-07,2.2887840580011143,4.0843816903850225,0.17148750599999996,88972.63305,47.30362436925972,51.376155625849634,51.376155625849634,47.30362436925972,3.21105669866772e-07,0.0018857378215275116,0.9999999999999998,4.084381690385023,4.0843816903850225,4.0843816903850225,275390.16337087075,3.3974265072087615,3.2000000000000006,0.4733378346,2.2413224551999997,1.9544331809344,51.860547791233564,369652753.478406,0.002914410083946232,0.9121312131079313,0.0026583244053638645
Burkina Faso,1642.185834,1594.576777,18646433,0.083,0.30688000000000004,649.7304837,1,0.2,1.5,0.06,0.8,0.05,1,1,0.40566509188102295,1.0,0.037206592051000006,1.1131202150373583,3.6994286553841325,68981148.5609003,8.660134527285798e-07,16.148061823402127,1.0108010696618097,0.098161232,8210.929170000001,3.699428655384133,4.1179088203965515,4.1179088203965515,3.6994286553841325,8.660134527285798e-07,0.0014352359028858913,0.9999999999999998,1.01080106966181,1.0108010696618097,1.0108010696618097,20240.659929418267,3.39796189439037,2.4000000000000004,0.03620367940000001,3.393739601658168,3.067940599898984,3.92129403136517,73118146.42915054,0.0023878503578451706,0.9434203673056885,0.0022527466616693104
Burundi,721.1765615,721.1765615,10524117,0.069,0.12359,285.7274421,1,0.2,1.5,0.06,0.8,0.05,1,1,0.4629793127178333,1.0,0.10229098596046879,1.1318765116320695,2.825449143232028,29735357.360923618,2.252784992259819e-06,23.708572834386427,0.44180733709263886,0.04666023,3605.8828074999997,2.8254491432320274,3.1980595200352866,3.1980595200352866,2.825449143232028,2.252784992259819e-06,0.003664062093102503,0.9999999999999998,0.4418073370926389,0.4427701068968461,0.44180733709263886,7788.431812065945,3.3951957709921494,2.4000000000000004,0.10326718970073563,2.469788850858763,2.2326891211763216,2.9686234305071992,31242140.311599135,0.004116361497290839,0.9517708154547883,0.003917832738983195
