country,gdp_pc_pp,gdp_pc_pp_A,pop,share1,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier,dK,dKtot,delta_W,delta_W_tot,average_aid_cost_pc,axfin,c,dc,dc_npv_post,dc_npv_pre,dk,dw,fa,gamma_SP,help_fee,help_needed,help_received,k,n,shew,social,v,v_shew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
Belarus,16752.098769999997,16742.2555,9507120,0.096,0.77046,4989.254611,2,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.5541666666666667,0.3864445367538237,1.0,0.43562942058399995,1.209545948170612,71.75206877541122,682155528.0960873,6.033526226642189e-07,5.736145785983447,4.270109092748143,0.172373852,83760.49385,71.75206877541122,86.78742406015773,86.78742406015773,71.75206877541122,6.033526226642189e-07,0.005088617633931036,0.9999999999999998,4.270109092748143,10.507445477712452,4.270109092748143,216746.48205301925,3.3924060982916426,3.2000000000000006,0.4684550397999999,1.8799999999999992,1.6393599999999995,89.00290359002908,846161284.7788372,0.005312940474623831,0.8061767187497639,0.0042831689187450535
Belgium,42094.579050000015,41945.69212,11348159,0.086,0.97897,41096.1573,2,0.2,1.5,0.06,0.8,0.05,0.0,0.425,0.2166915174374668,1.0,0.48314774690999995,1.1005808610498713,27.427868115601676,311255808.40687823,5.500651870478134e-08,0.6242227202983326,0.0,0.5792287,210472.89525000003,27.427868115601676,30.186586707431204,30.186586707431204,27.427868115601676,5.500651870478134e-08,0.00045875789873802883,1.0,0.0,5.568836213634269,0.0,971301.9583737914,3.3990767471997887,0.0,0.5101755720000001,1.54,1.54,32.340383438877474,367003813.3853484,0.0007682790556110209,0.8480996574279853,0.0006515772038728028
Belize,7846.015831999998,7831.454486,366954,0.0321,0.43845,4810.565902,2,0.2,1.5,0.06,0.8,0.05,0.0,0.125,0.9615481265045698,1.0,0.15088172973340003,1.578707056544502,109.2592110914799,40093104.54686292,4.579539157596638e-06,1.6804802120367168,0.0,0.2545334,39230.07916000001,109.25921109147993,172.48828754260472,172.48828754260472,109.2592110914799,4.579539157596638e-06,0.04366439792426206,1.0,0.0,9.076517149998145,0.0,40798.87223389389,3.3259762202226506,0.0,0.19982794680000004,1.5420137719325504,1.5420137719325504,216.55198281899214,79464616.30336045,0.027600248005590845,0.5045403402415652,0.013925438519492387
Benin,2009.961384,2009.961384,10872298,0.032,0.44395,789.4404107,2,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.25,0.3302533219458435,1.0,0.08277983833600004,1.1734766008233284,5.050598347204418,54911610.309113875,1.62500322172608e-06,17.667519277566015,0.11503630544472943,0.08237205599999999,10049.806919999999,5.050598347204417,5.926758980601359,5.926758980601359,5.050598347204418,1.62500322172608e-06,0.0015758525854976618,0.9999999999999998,0.1150363054447294,0.6902178326683764,0.1150363054447294,30430.60054865402,3.3978527285143647,1.6000000000000003,0.07731285760000003,3.3937396016581673,3.1765402671520437,9.96346444459161,108325754.55400448,0.0049570427192802274,0.5069118653748993,0.0025127837715734035
Bhutan,8253.293783000005,8105.796967,797765,0.067,0.39377,2804.000223,2,0.2,1.5,0.06,0.8,0.05,0.6,0.4166666666666667,0.185575394278482,1.0,0.04401946709800002,1.080607307209514,191.33193703255606,152637922.74677703,4.8176154083758525e-06,3.8433249562629626,12.213891951060619,0.24155477999999997,41266.46891500001,191.33193703255606,206.7546892599307,206.75468925993064,191.33193703255606,4.8176154083758525e-06,0.006964772895356122,0.9999999999999998,12.213891951060619,49.87617830705483,12.213891951060619,222370.36906452087,3.3890454946515645,2.4000000000000004,0.043738370800000016,3.395562306575224,3.069588325144003,245.78432124583233,196078129.03868142,0.029780149320759033,0.7784546063098416,0.02318249441533977
Bolivia,6707.9561840000015,6707.9561840000015,10887882,0.039,0.68911,3104.956089,2,0.2,1.5,0.06,0.8,0.05,0.5333333333333333,0.45,0.4218342004210295,1.0,0.17059334626300007,1.2322627033729696,39.6177333120312,431353205.40886486,1.4489722509274693e-06,15.776238889372674,0.6362307345281397,0.27343408,33539.780920000005,39.6177333120312,48.81945515259291,48.81945515259291,39.6177333120312,1.4489722509274693e-06,0.005496527315875776,0.9999999999999998,0.6362307345281397,2.6509613938672487,0.6362307345281396,79509.39228380298,3.3909556559548024,2.4000000000000004,0.21263727540000002,2.255416846714411,2.0388968294298273,54.165518898917945,589747778.2401885,0.008074817040116483,0.7314198057617544,0.0059060811110437025
Bosnia and Herzegovina,11327.487410000002,11179.34991,3516816,0.077,0.3994,4708.718261,2,0.2,1.5,0.06,0.8,0.05,0.0,0.125,0.32393223235700314,1.0,0.14356445648199992,1.1694190701795737,78.166496519874,274897185.62503725,1.163749658257651e-06,4.092693418155039,0.0,0.09976816199999997,56637.43705000001,78.16649651987399,91.40939167946593,91.40939167946593,78.166496519874,1.163749658257651e-06,0.0042667317534458675,0.9999999999999997,0.0,12.36607778459128,0.0,174843.47463015144,3.391465720388851,0.0,0.1547600721999999,2.4680943740000005,2.4680943740000005,95.46561980476683,335735019.1793209,0.00842778423399429,0.8187921125922544,0.006900603257423879
Botswana,15723.23706,15513.44193,2250260,0.028,0.5771,6788.042745000002,2,0.2,1.5,0.06,0.8,0.05,0.6,0.7083333333333333,0.2811780767140953,1.0,0.08310013303600002,1.1419750205057293,47.854409584418875,107684863.71143442,4.7367427545998265e-07,1.0658902750965806,1.248266769849022,0.30619332,78616.1853,47.854409584418875,54.64854036645632,54.64854036645632,47.854409584418875,4.7367427545998265e-07,0.0013842467713778188,1.0,1.248266769849022,2.9370982819976996,1.248266769849022,279595.7146400775,3.39776677252884,3.2000000000000006,0.1121983254,3.266403415957444,2.8483037787148904,63.546002098795576,142995026.68283573,0.004041534313596082,0.7530671954786261,0.003043546910970435
Brazil,14023.691619999994,14023.69162,207652865,0.036000000000000004,0.8593299999999999,8649.948492,2,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,0.5458333333333333,0.26557501018758395,1.0,0.21376261367200006,1.1319593547446185,27.559122356080906,5722730714.1257515,3.0271641109880724e-07,62.85993004718512,1.4370826541411283,0.14558476199999998,70118.45809999997,27.559122356080913,31.195806359517334,31.195806359517338,27.559122356080906,3.0271641109880724e-07,0.0007998110648739211,0.9999999999999998,1.4370826541411286,3.0378729036453684,1.4370826541411281,264025.06037926197,3.398859905995655,0.8000000000000002,0.2071562594,3.3026515399850984,3.1969666907055747,34.20683769222236,7103147849.379961,0.002439217762278658,0.8056612132359446,0.0019651831417040896
Bulgaria,17794.52661,17709.07519,7127822,0.06,0.74266,7350.795801,2,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.7166666666666667,0.3230784715072762,1.0,0.4390931068799999,1.1688710379516616,48.42749864858041,345182590.27232176,3.6796496315076654e-07,2.6227887595752235,1.997597536140522,0.17148750599999996,88972.63305,48.42749864858041,56.60550061076887,56.60550061076886,48.42749864858041,3.6796496315076654e-07,0.0019296198690760906,0.9999999999999998,1.9975975361405218,4.1810180988987655,1.9975975361405216,275390.16337087075,3.3969297778611525,3.2000000000000006,0.4733378346,2.2413224551999997,1.9544331809344,59.42861290769914,423596574.5129819,0.0033397130595371953,0.814885225805203,0.0027214828306455527
