Country,EXPOSED VALUE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,WIND,WIND,WIND,WIND,WIND,WIND,WIND,WIND,WIND,WIND,WIND,WIND,WIND,WIND,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,Riverine floods,Riverine floods,Riverine floods,Riverine floods,Riverine floods,Riverine floods,Riverine floods,Riverine floods,Riverine floods,Riverine floods,Riverine floods,Riverine floods,Riverine floods,Riverine floods
Country,National,20,20,50,50,100,100,250,250,500,500,1000,1000,1500,1500,20,20,50,50,100,100,250,250,500,500,1000,1000,1500,1500,20,20,50,50,100,100,250,250,500,500,1000,1000,1500,1500,20,20,50,50,100,100,250,250,500,500,1000,1000,1500,1500,20,20,50,50,100,100,250,250,500,500,1000,1000,1500,1500
Country,million US$,million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%]
Israel,853829,792.17,0.09,1976.79,0.23,4479.83,0.52,11867.48,1.39,22039.66,2.58,37452.96,4.39,48892.51,5.73,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,11.5166498,0.001348824,28.6349081,0.003353705,49.84355205,0.00583765,94.09974343,0.011020912,151.8157736,0.017780583,381.9478322,0.044733528,562.697662,0.065902852
Italy,8604330,29692.46,0.35,61507.2,0.71,97000.14,1.13,157836.13,1.83,212653.16,2.47,273285.71,3.18,316387.42,3.68,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,524.0871518,0.00609097,7250.084413,0.084260883,13951.17355,0.162141312,33239.35912,0.386309673,46834.33967,0.544311291,59499.06308,0.691501408,64411.90035,0.748598675
Jamaica,70711.4,63.35,0.09,416.4,0.59,1113.04,1.57,2806,3.97,4642.74,6.57,6674.65,9.44,8037.02,11.37,1127.09,1.59,2618.48,3.7,8541.92,12.08,18059.98,25.54,21419.59,30.29,24091.7,34.07,24819.62,35.1,715.94,1.01,1118.76,1.58,1372.97,1.94,1727.17,2.44,1821.28,2.58,2009.49,2.84,2197.71,3.11,---,---,---,---,---,---,---,---,---,---,---,---,---,---,29.61834423,0.041886236,66.87072232,0.094568517,90.00736442,0.127288336,658.6841436,0.931510539,940.5411489,1.33011247,1686.881562,2.385586429,2242.972963,3.172010401
Japan,39255200,69758.46,0.18,169805.56,0.43,307644.88,0.78,606379.73,1.54,924010.09,2.35,1344711.76,3.43,1582655.88,4.03,11867.43,0.03,22861.42,0.06,33925.57,0.09,46339.5,0.12,55105.9,0.14,62223.25,0.16,69340.61,0.18,33910.03,0.09,40525.86,0.1,45243.59,0.12,49145.19,0.13,55647.87,0.14,58872.81,0.15,59225.74,0.15,1413.44,0,15900.19,0.04,60744.37,0.15,210462.12,0.54,362633.85,0.92,526170,1.34,628032.79,1.6,253.7630537,0.000646444,6187.770804,0.015762933,35808.16,0.091218896,131773.2311,0.335683505,345840.0349,0.881004389,589580.2017,1.501916184,763325.8001,1.94452149
Jordan,121481,83.9,0.07,220.33,0.18,533.25,0.44,1624.89,1.34,3308.78,2.72,5948.67,4.9,7943.45,6.54,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2.355099996,0.001938657,9.707102688,0.007990634,14.65935394,0.012067199,53.68431562,0.044191533,68.28813589,0.056213018,95.97991424,0.079008169,130.1686486,0.107151446
Kazakhstan,734310,935.7,0.13,2585.71,0.35,5070.22,0.69,10335.65,1.41,15742.63,2.14,22243.12,3.03,25892.63,3.53,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1830.20355,0.249241267,3544.621095,0.482714534,4727.541742,0.643807349,7190.550369,0.979225445,8937.563749,1.217137687,10980.19892,1.495308374,11759.1579,1.601388774
Kenya,98382.7,24.22,0.02,55.4,0.06,116.34,0.12,337.15,0.34,724.57,0.74,1433.51,1.46,2019.99,2.05,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,611.4915957,0.621543824,1182.024819,1.201455966,1472.938387,1.497151823,1916.995138,1.948508364,1935.471897,1.96728886,1936.439224,1.968272088,1937.406551,1.969255317
Kiribati,595.115,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,0,0.18,0.03,0.71,0.12,1.77,0.3,2.83,0.48,,,,,,,,,,,,,,
Kuwait,469418,262.57,0.06,512.22,0.11,1064.62,0.23,3249.73,0.69,7178.04,1.53,14059.72,3,19516.71,4.16,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,3.25152259,0.000692671,10.73550793,0.002286983,15.13266261,0.003223707,33.91988292,0.007225944,43.24806996,0.009213126,58.13055223,0.012383537,76.1664229,0.016225714
Kyrgyzstan,18466.6,172.05,0.93,362.27,1.96,579.26,3.14,952.43,5.16,1270.38,6.88,1624.58,8.8,1777.7,9.63,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,236.6530656,1.281519422,500.0068636,2.70762817,600.2801796,3.250626426,717.8342682,3.887203211,770.139493,4.170445523,874.7499427,4.736930148,923.0116521,4.998276088
Lao People's Democratic Republic,21925.6,16.34,0.07,41.11,0.19,76.5,0.35,160.22,0.73,259.29,1.18,390.37,1.78,486.4,2.22,2.52,0.01,4.25,0.02,5.18,0.02,6.26,0.03,7.44,0.03,7.84,0.04,8.23,0.04,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1250.872037,5.705075513,1725.882389,7.871540068,2011.126943,9.172505853,2471.814357,11.27364522,2600.349737,11.85987949,2781.222402,12.68481776,2962.095068,13.50975603
Latvia,95608.8,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,832.0105651,0.870223834,1964.00491,2.054209351,3323.398237,3.476038018,4852.978567,5.075870178,5834.290194,6.102252297,6524.292364,6.823945457,7052.222965,7.376123291
Lebanon,207724,189.82,0.09,648.08,0.31,1728.54,0.83,4917.75,2.37,9166.8,4.41,15097.14,7.27,19284.96,9.28,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,17.52,0.01,358.97,0.17,944,0.45,0.535067165,0.000257586,53.93262868,0.0259636,68.92431111,0.033180716,198.4665192,0.095543374,228.0120396,0.109766825,286.9482263,0.138139178,367.4235594,0.176880649
Lesotho,17938,35.15,0.2,88.11,0.49,177.88,0.99,404.94,2.26,696.13,3.88,1099.58,6.13,1371.56,7.65,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,124.2480959,0.692653004,190.1736889,1.060172198,273.247629,1.523289268,367.5325661,2.048904929,445.6738263,2.484523505,475.596241,2.651333711,476.3302102,2.655425411
Liberia,1911.24,---,---,0.2,0.01,1.01,0.05,3.13,0.16,7.51,0.39,18.1,0.95,29.35,1.54,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,21.48036617,1.123896851,48.68765103,2.547437843,59.48412248,3.112331391,72.33642534,3.784790259,74.57039924,3.901676359,79.03834704,4.135448559,83.50629484,4.369220759
Libya,73757.4,26.21,0.04,67.38,0.09,136.05,0.18,310.49,0.42,522.98,0.71,814.63,1.1,1027.14,1.39,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0.48,0,11.83,0.02,63.57,0.09,118.17,0.16,5.226900495,0.007086612,13.10992706,0.017774389,47.23338641,0.064038844,228.7646997,0.310158302,303.0703965,0.410901681,468.5556962,0.635266016,594.1155473,0.80549958
Liechtenstein,18837.1,12.92,0.07,33.72,0.18,86.08,0.46,297.22,1.58,695.9,3.69,1404.71,7.46,1961.29,10.41,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,,,,,,,,,,,
Lithuania,135614,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,866.8584158,0.639210123,1693.087733,1.248460877,2257.059791,1.664326538,4852.007337,3.577807112,5902.631504,4.35252371,7680.725411,5.663667034,8216.371114,6.058645209
Luxembourg,201131,37.69,0.02,76.83,0.04,126.08,0.06,262.21,0.13,523.94,0.26,1073.35,0.53,1617.72,0.8,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1.44059537,0.000716247,6.974933469,0.003467856,59.99776657,0.029830194,542.0141757,0.269483161,937.2493633,0.465989511,1356.613157,0.674492324,1729.495204,0.859884953
Madagascar,23496.4,1.06,0,2.93,0.01,6.15,0.03,17.71,0.08,40.5,0.17,86.61,0.37,127.95,0.54,726.89,3.09,895.23,3.81,1061.73,4.52,1182.53,5.03,1359.9,5.79,1462.88,6.23,1503.86,6.4,54.63,0.23,72.37,0.31,82.85,0.35,93.14,0.4,96.91,0.41,104.46,0.44,112,0.48,---,---,---,---,---,---,---,---,---,---,---,---,---,---,490.2778327,2.0866083,1030.92321,4.387579418,1111.401504,4.730092714,1273.88832,5.421631908,1405.12524,5.98017245,1427.895152,6.077080539,1450.665064,6.173988628
Malawi,18357,17.71,0.1,55.77,0.3,129.15,0.7,326.83,1.78,588.79,3.21,978.67,5.33,1268.47,6.91,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,316.4126181,1.723661917,652.4945638,3.554472756,784.2479176,4.272200891,923.6336974,5.031506768,963.3674778,5.247957062,1042.835039,5.680857649,1122.3026,6.113758237
Malaysia,1170980,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,4822.202848,0.411809155,12010.48889,1.025678397,19174.63203,1.637485869,30755.10391,2.626441435,37722.92121,3.221482964,47061.7103,4.019002059,70888.394,6.053766418
Maldives,7443.12,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0.48,0.01,5.79,0.08,14.18,0.19,,,,,,,,,,,,,,
Mali,27719.2,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,347.5179801,1.253708549,624.8890516,2.254354569,848.1237384,3.059697749,1117.907084,4.032970231,1319.755853,4.76116141,1373.456993,4.954894055,1427.158132,5.148626701
Malta,36990.2,26.6,0.07,59.47,0.16,122.15,0.33,348.63,0.94,721.54,1.95,1434.19,3.88,2086.9,5.64,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,,,,,,,,,,,
Marshall Islands,766.314,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1.96,0.26,3.43,0.45,4.6,0.6,5.73,0.75,6.37,0.83,7.26,0.95,7.32,0.96,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,,,,,,,,,,,
Martinique,39559.9,234.26,0.59,813.13,2.06,1666.77,4.21,3460.03,8.75,5200.3,13.15,7179.18,18.15,8282.15,20.94,781.25,1.97,3268.98,8.26,6671.59,16.86,13990.26,35.36,17977.76,45.44,19166.44,48.45,20355.12,51.45,480,1.21,1514.38,3.83,2199.04,5.56,2821.37,7.13,3361.5,8.5,3587.77,9.07,3814.04,9.64,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,,,,,,,,,,,
Mauritania,11985.5,0.45,0,2.16,0.02,4.25,0.04,9.5,0.08,17.49,0.15,31.08,0.26,42.09,0.35,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,116.1891651,0.969414418,298.1271184,2.48739826,355.1858166,2.963462656,411.5190804,3.433474451,453.8684233,3.786812593,516.6122664,4.310310512,516.6595619,4.310705118
Mauritius,44217.9,---,---,---,---,---,---,---,---,---,---,---,---,---,---,269.95,0.61,831.07,1.88,1262.25,2.85,1657.26,3.75,1835.08,4.15,2172.35,4.91,2212.69,5,196.59,0.44,294.73,0.67,382.82,0.87,495.31,1.12,531.59,1.2,604.14,1.37,653.66,1.48,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,,,,,,,,,,,
Mayotte,6949.04,1.77,0.03,4.04,0.06,8.01,0.12,29.76,0.43,96.32,1.39,299.93,4.32,514.17,7.4,278.77,4.01,596.93,8.59,799.9,11.51,1007.52,14.5,1099.88,15.83,1284.61,18.49,1309.95,18.85,29.92,0.43,62.8,0.9,196.12,2.82,244.77,3.52,267.48,3.85,312.04,4.49,313.82,4.52,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,,,,,,,,,,,
Mexico,4513850,2450.12,0.05,5036.36,0.11,8520.71,0.19,16828.33,0.37,28136.95,0.62,47075.21,1.04,62902.6,1.39,1903.38,0.04,6332.4,0.14,13376.75,0.3,18112.76,0.4,21542.8,0.48,25216.82,0.56,27955.25,0.62,265.17,0.01,573.41,0.01,1486.01,0.03,3334.32,0.07,4053.39,0.09,4285.14,0.09,4410.43,0.1,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2933.275161,0.064983887,5644.176157,0.125041288,8180.714831,0.181235859,13201.63916,0.292469603,18114.25858,0.401303955,22166.26125,0.491072172,23115.75946,0.512107391
Micronesia (Federated States of),1347.82,0.11,0.01,0.34,0.02,0.75,0.06,2.01,0.15,3.67,0.27,6.02,0.45,7.7,0.57,23.11,1.71,49.94,3.71,88.02,6.53,141.21,10.48,165.61,12.29,194.82,14.45,202.36,15.01,1.85,0.14,49.46,3.67,68.04,5.05,81.41,6.04,94.59,7.02,100.09,7.43,101.74,7.55,---,---,---,---,0.1,0.01,1.04,0.08,2,0.15,3.41,0.25,5.57,0.41,,,,,,,,,,,,,,
Monaco,20716.4,12.84,0.06,34.21,0.17,87.85,0.42,365.54,1.76,936.97,4.52,2002.96,9.67,2859.84,13.8,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,,,,,,,,,,,
Mongolia,36587.6,10.55,0.03,24.63,0.07,44.65,0.12,90.25,0.25,142.4,0.39,210.59,0.58,261.85,0.72,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,162.6785468,0.444627543,537.4918188,1.469054594,676.4059434,1.848730016,966.6129379,2.641914031,1075.384497,2.939204803,1286.534147,3.516311939,1434.281918,3.920131187
Montenegro,8892.93,11.53,0.13,25.94,0.29,47.58,0.54,102.55,1.15,171.57,1.93,269.67,3.03,342.13,3.85,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,15.96415049,0.179515081,40.64035615,0.456996245,54.40244451,0.611749384,91.97528137,1.034251719,117.5447431,1.321777446,151.5236704,1.703866671,183.4928529,2.063356542
Montserrat,158.421,4.83,3.05,13.1,8.27,21.61,13.64,33.44,21.11,42.41,26.77,52.44,33.1,57.1,36.04,10.66,6.73,41.91,26.45,64.93,40.99,88.74,56.02,93.58,59.07,102.09,64.44,110.61,69.82,24.52,15.48,51.92,32.77,59.61,37.63,69.8,44.06,69.81,44.06,69.82,44.07,69.83,44.08,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,,,,,,,,,,,
Morocco,374846,611.97,0.16,1318.94,0.35,2159.59,0.58,3715.86,0.99,5264.84,1.4,7183.02,1.92,8432.1,2.25,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,880.9142757,0.235006983,1465.613714,0.390990891,2315.495127,0.617719044,4008.881991,1.069474395,4689.175104,1.250960422,5570.277253,1.486017525,5896.330444,1.573000764
Mozambique,36409.4,18.57,0.05,43.74,0.12,83.7,0.23,178.18,0.49,289.27,0.79,440.09,1.21,539.72,1.48,222.28,0.61,363.59,1,487.94,1.34,639.31,1.76,766.32,2.1,832.04,2.29,897.76,2.47,39.37,0.11,69.68,0.19,89.63,0.25,126.49,0.35,154.53,0.42,177.94,0.49,198.62,0.55,---,---,---,---,---,---,---,---,---,---,---,---,---,---,360.8233519,0.991017023,569.9128783,1.565290497,641.1102852,1.760837271,753.9621797,2.070789905,780.6432014,2.144070491,834.0052449,2.290631664,887.3672884,2.437192836
Myanmar,195390,123.05,0.06,317.23,0.16,593.76,0.3,1220.76,0.62,1892.89,0.97,2755.72,1.41,3316.49,1.7,245.37,0.13,352.48,0.18,418.69,0.21,467.52,0.24,509.1,0.26,589.11,0.3,592,0.3,240.52,0.12,479.07,0.25,570.46,0.29,602.73,0.31,623.86,0.32,666.12,0.34,708.38,0.36,---,---,---,---,---,---,14.25,0.01,154.55,0.08,578.54,0.3,1139.91,0.58,12648.88888,6.473662357,21968.77621,11.24355198,24870.9118,12.72885603,28893.32364,14.78751402,29720.97704,15.21110448,31376.28385,16.0582854,33031.59066,16.90546633
Namibia,42062.7,9.78,0.02,24.85,0.06,48.57,0.12,120.55,0.29,232.21,0.55,416.98,0.99,562.44,1.34,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,423.5012717,1.006833303,1121.849417,2.667088459,1604.522174,3.814596244,2112.812526,5.023007381,2381.458959,5.661688288,2694.45837,6.405814107,2716.199013,6.457500382
Nepal,53996.6,68.17,0.13,262.85,0.49,586.83,1.09,1391.32,2.58,2365.31,4.38,3656.26,6.77,4581.91,8.49,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,895.09728,1.657691929,1376.22169,2.54871916,1597.871668,2.959207928,1982.244651,3.671054569,2338.664202,4.331132335,2495.805259,4.622152615,2536.683249,4.697857363
Netherlands,3410960,541.8,0.02,1843.5,0.05,4272.62,0.13,10728.96,0.31,19173.2,0.56,31876.31,0.93,41287.14,1.21,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,73.46162261,0.002153693,6750.388504,0.197902893,15223.81745,0.446320609,39930.58708,1.17065539,73565.18357,2.156729588,105946.2913,3.10605493,151840.0549,4.451534317
New Caledonia,17113.3,3.13,0.02,14.66,0.09,35.35,0.21,90.94,0.53,155.91,0.91,257.8,1.51,347.66,2.03,749.05,4.38,3448.79,20.15,4496.84,26.28,5670.62,33.14,6346.91,37.09,7256.69,42.4,7333.58,42.85,919.31,5.37,1168.78,6.83,1312.54,7.67,1325.65,7.75,1347.5,7.87,1391.2,8.13,1434.9,8.38,---,---,1.86,0.01,3.19,0.02,4.7,0.03,8.19,0.05,32.2,0.19,88.51,0.52,,,,,,,,,,,,,,
New Zealand,679705,39.85,0.01,151.96,0.02,364.34,0.05,952.22,0.14,1725.54,0.25,2845.32,0.42,3713.96,0.55,---,---,27.32,0,44.16,0.01,57,0.01,64.43,0.01,73.3,0.01,74.85,0.01,1290.38,0.19,3143.82,0.46,3830.06,0.56,3830.34,0.56,3830.82,0.56,3831.77,0.56,3832.72,0.56,13.63,0,128.4,0.02,353.59,0.05,869.82,0.13,1665.02,0.24,4164.17,0.61,6376.74,0.94,2215.037544,0.325882191,4186.862581,0.615982313,6610.677697,0.972580413,8832.896367,1.29951911,11218.59048,1.650508747,14900.14495,2.192148792,16419.13357,2.415626422
Nicaragua,35973.8,203.41,0.57,393.72,1.09,609.73,1.69,1035.6,2.88,1484.39,4.13,2065.19,5.74,2421.85,6.73,4.46,0.01,21.06,0.06,82.39,0.23,175.23,0.49,231.99,0.64,263.73,0.73,292.5,0.81,0.99,0,10.61,0.03,53.72,0.15,91.05,0.25,101.4,0.28,105.15,0.29,108.89,0.3,---,---,---,---,---,---,---,---,---,---,---,---,---,---,248.3713128,0.690422788,403.3640449,1.121271717,476.009737,1.323212274,553.1176222,1.537556839,584.4167773,1.624562257,647.0150875,1.798573093,709.6133976,1.97258393
Niger,12723.5,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,102.817351,0.808090156,211.3556221,1.661143727,281.9820957,2.216230563,352.8413845,2.773147204,412.085438,3.238774221,481.322514,3.782941124,481.3881525,3.783457009
Nigeria,592030,60.53,0.01,177.07,0.03,333.36,0.06,800.83,0.14,1554.3,0.26,2865.72,0.48,3948.06,0.67,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,4179.490768,0.705959287,7720.695125,1.304105387,10064.06234,1.699924386,13187.34982,2.227479996,16106.44829,2.720545967,18144.24284,3.064750577,20182.03739,3.408955187
Norway,1933680,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,,,,,,,,,,,
Oman,202534,82.21,0.04,160.71,0.08,273.8,0.14,553.59,0.27,916.69,0.45,1463.82,0.72,1886.8,0.93,4.92,0,199.46,0.1,200.82,0.1,204.9,0.1,211.71,0.1,225.32,0.11,238.93,0.12,15.59,0.01,362.26,0.18,405.68,0.2,481.55,0.24,498.29,0.25,531.79,0.26,565.29,0.28,---,---,---,---,---,---,---,---,---,---,---,---,---,---,51.61238835,0.025483321,139.2729785,0.068765234,388.4095531,0.191774987,571.730759,0.282288781,808.8552927,0.399367658,1317.440118,0.650478497,1689.101638,0.833984239
Pakistan,502344,941.86,0.19,2209.39,0.44,3948.09,0.79,7497.54,1.49,11177.5,2.23,15751.41,3.14,18347.39,3.65,---,---,173.3,0.03,220.79,0.04,265.18,0.05,309.38,0.06,325.77,0.06,342.15,0.07,136.33,0.03,272.18,0.05,294.43,0.06,344,0.07,344,0.07,344.01,0.07,344.02,0.07,---,---,---,---,---,---,---,---,---,---,---,---,---,---,5212.441756,1.03762397,8509.108679,1.693880822,10905.1211,2.170847287,13961.72295,2.77931516,15158.13468,3.017480985,17550.95814,3.493812635,18310.85431,3.645082714
Palau,780.067,0.19,0.02,0.53,0.07,1.35,0.17,4.41,0.56,10.05,1.29,20.07,2.57,28.17,3.61,35.92,4.61,233.44,29.93,422.63,54.18,463.98,59.48,499.22,64,569.69,73.03,---,---,3.08,0.4,10.27,1.32,33.6,4.31,38.1,4.88,42.38,5.43,47.1,6.04,47.11,6.04,---,---,---,---,0.04,0,1.08,0.14,3.56,0.46,10.76,1.38,17.67,2.26,,,,,,,,,,,,,,
Panama,124687,413.5,0.33,832.08,0.67,1364.22,1.09,2459.36,1.97,3593.28,2.88,5117.55,4.1,6190.25,4.96,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0.51,0,9.66,0.01,48.23,0.04,166.67,0.13,271.5,0.22,123.2613669,0.098856631,229.966422,0.184434963,326.0317205,0.261480123,449.118758,0.36019694,494.7592094,0.396800957,566.7328291,0.454524392,608.7300597,0.488206517
Papua New Guinea,47017.9,211.94,0.45,380.3,0.81,556.77,1.18,894.16,1.9,1200.94,2.55,1579.79,3.36,1807.49,3.84,5.98,0.01,15,0.03,17.42,0.04,21.11,0.04,21.73,0.05,22.97,0.05,24.2,0.05,2.25,0,12.79,0.03,16.26,0.03,19.84,0.04,20.13,0.04,20.7,0.04,21.27,0.05,0.57,0,3.13,0.01,9.37,0.02,34.6,0.07,58.15,0.12,100.72,0.21,141.81,0.3,665.8071804,1.41607171,1168.848407,2.485964722,1373.70057,2.921654454,1655.703096,3.521431403,1967.451575,4.184473519,1977.938139,4.206776863,1988.424703,4.229080208
Paraguay,92568.6,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,354.5182623,0.382978961,1077.9472,1.164484717,1675.367751,1.809866144,2498.874673,2.699484137,3745.487434,4.046174874,4367.651677,4.718286414,4561.837738,4.928061716
Peru,692345,7884.97,1.14,14505.77,2.1,22323,3.22,37488.31,5.41,52291.24,7.55,69341.15,10.02,80726.82,11.66,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,10.78,0,113.54,0.02,336.5,0.05,1011.47,0.15,1954.78,0.28,2079.090909,0.300296949,3788.461904,0.547192787,5410.658215,0.781497406,9202.645106,1.329199331,12108.38619,1.74889487,15940.71811,2.302424096,18228.96089,2.632930243
