Country,EXPOSED VALUE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,WIND,WIND,WIND,WIND,WIND,WIND,WIND,WIND,WIND,WIND,WIND,WIND,WIND,WIND,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,Riverine floods,Riverine floods,Riverine floods,Riverine floods,Riverine floods,Riverine floods,Riverine floods,Riverine floods,Riverine floods,Riverine floods,Riverine floods,Riverine floods,Riverine floods,Riverine floods
Country,National,20,20,50,50,100,100,250,250,500,500,1000,1000,1500,1500,20,20,50,50,100,100,250,250,500,500,1000,1000,1500,1500,20,20,50,50,100,100,250,250,500,500,1000,1000,1500,1500,20,20,50,50,100,100,250,250,500,500,1000,1000,1500,1500,20,20,50,50,100,100,250,250,500,500,1000,1000,1500,1500
Country,million US$,million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%]
Belize,5994.43,6.27,0.1,22.1,0.37,44.59,0.74,94.17,1.57,153.19,2.56,236.25,3.94,298.84,4.99,49.54,0.83,513.63,8.57,815.2,13.6,1259.01,21,1547.03,25.81,1754.13,29.26,1960.06,32.7,62.26,1.04,202.3,3.37,490.4,8.18,647.81,10.81,697.27,11.63,739.43,12.34,781.58,13.04,---,---,---,---,---,---,---,---,---,---,---,---,---,---,277.1862638,4.624063736,365.5529688,6.098210652,472.2026984,7.877357788,563.5115133,9.400585432,832.3308112,13.88507016,1084,18.08345414,1084.000002,18.08345417
Benin,21971.9,---,---,0.22,0,3.44,0.02,11.38,0.05,20.36,0.09,34.96,0.16,48.06,0.22,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,139.4156711,0.634518048,318.9999926,1.45185438,429.5637039,1.955059434,1056.425139,4.808073669,1187.267748,5.403573421,1393.396995,6.341722813,1498.412314,6.819675648
Bermuda,10451.9,---,---,---,---,---,---,---,---,---,---,---,---,---,---,323.6,3.1,711.34,6.81,1227.91,11.75,2382.21,22.79,3182.84,30.45,3722.22,35.61,3926.06,37.56,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,,,,,,,,,,,
Bhutan,11083.7,9.9,0.09,54.03,0.49,147.45,1.33,419,3.78,789.07,7.12,1322.54,11.93,1710.56,15.43,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,474.202414,4.278376481,727.6569193,6.565108396,744.1749484,6.714138315,793.7290356,7.16122807,876.319181,7.906377663,978.0423685,8.824150496,1016.782013,9.173669561
Bolivia (Plurinational State of),60590,183.17,0.3,483.48,0.8,912.91,1.51,1801.68,2.97,2703.56,4.46,3703.82,6.11,4252.97,7.02,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,376.8076968,0.621897503,621.5847764,1.025886741,759.9806932,1.254300533,860.7301416,1.420581188,1000.474077,1.6512198,1030.578963,1.700906029,1060.683849,1.750592257
Bosnia and Herzegovina,30656.2,29.99,0.1,75.02,0.24,152.05,0.5,351.48,1.15,590.23,1.93,907.38,2.96,1124.3,3.67,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,329.6965011,1.075464347,526.7742577,1.718328618,665.0288189,2.169312631,1024.65634,3.342411455,1243.698126,4.056922014,1455.964804,4.749332284,1582.405819,5.161780712
Botswana,90628.6,72.72,0.08,159.74,0.18,299.5,0.33,646.23,0.71,1093.92,1.21,1722.37,1.9,2171.55,2.4,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,340.8209279,0.376063326,564.1072576,0.622438455,668.6893617,0.737834813,850.027134,0.937923717,1050.450967,1.159072265,1378.357728,1.520886043,1477.510775,1.630291955
Brazil,6817410,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,17853.91516,0.261887068,28825.94287,0.42282836,42272.3947,0.620065314,62642.74902,0.918864334,76090.40154,1.116118901,107586.9435,1.578120482,114449.8545,1.678787905
British Virgin Islands,3849.5,84.53,2.2,222.8,5.79,382.23,9.93,633.1,16.45,831.25,21.59,1039.19,27,1153.91,29.98,419.63,10.9,883.42,22.95,1185.35,30.79,1466.96,38.11,1725.7,44.83,1775.29,46.12,1824.88,47.41,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,,,,,,,,,,,
Brunei Darussalam,71236.5,13.43,0.02,28.48,0.04,48.75,0.07,110.77,0.16,247.46,0.35,569.13,0.8,915.77,1.29,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0.17,0,4.09,0.01,23.68,0.03,48.64,0.07,73.22,0.1,91.4,0.13,167.7334763,0.235460019,241.444112,0.338933148,385.1251601,0.540628975,523.8389042,0.735351827,631.4123855,0.886360764,690.768019,0.969682703,750.1236526,1.053004643
