country,hazard,rp,income_cat,fa,v
Algeria,earthquake,1500.0,nonpoor,,0.10000000000000002
Algeria,earthquake,1500.0,poor,,0.5503924
Algeria,earthquake,2000.0,nonpoor,,0.10000000000000002
Algeria,earthquake,2000.0,poor,,0.5503924
Algeria,flood,1.0,nonpoor,,0.10000000000000002
Algeria,flood,1.0,poor,,0.5503924
Algeria,flood,20.0,nonpoor,,0.10000000000000002
Algeria,flood,20.0,poor,,0.5503924
Algeria,flood,50.0,nonpoor,,0.10000000000000002
Algeria,flood,50.0,poor,,0.5503924
Algeria,flood,100.0,nonpoor,,0.10000000000000002
Algeria,flood,100.0,poor,,0.5503924
Algeria,flood,250.0,nonpoor,,0.10000000000000002
Algeria,flood,250.0,poor,,0.5503924
Algeria,flood,500.0,nonpoor,,0.10000000000000002
Algeria,flood,500.0,poor,,0.5503924
Algeria,flood,1000.0,nonpoor,,0.10000000000000002
Algeria,flood,1000.0,poor,,0.5503924
Algeria,flood,1500.0,nonpoor,,0.10000000000000002
Algeria,flood,1500.0,poor,,0.5503924
Algeria,flood,2000.0,nonpoor,,0.10000000000000002
Algeria,flood,2000.0,poor,,0.5503924
Algeria,surge,1.0,nonpoor,,0.10000000000000002
Algeria,surge,1.0,poor,,0.5503924
Algeria,surge,20.0,nonpoor,,0.10000000000000002
Algeria,surge,20.0,poor,,0.5503924
Algeria,surge,50.0,nonpoor,,0.10000000000000002
Algeria,surge,50.0,poor,,0.5503924
Algeria,surge,100.0,nonpoor,,0.10000000000000002
Algeria,surge,100.0,poor,,0.5503924
Algeria,surge,250.0,nonpoor,,0.10000000000000002
Algeria,surge,250.0,poor,,0.5503924
Algeria,surge,500.0,nonpoor,,0.10000000000000002
Algeria,surge,500.0,poor,,0.5503924
Algeria,surge,1000.0,nonpoor,,0.10000000000000002
Algeria,surge,1000.0,poor,,0.5503924
Algeria,surge,1500.0,nonpoor,,0.10000000000000002
Algeria,surge,1500.0,poor,,0.5503924
Algeria,surge,2000.0,nonpoor,,0.10000000000000002
Algeria,surge,2000.0,poor,,0.5503924
Algeria,tsunami,1.0,nonpoor,,0.10000000000000002
Algeria,tsunami,1.0,poor,,0.5503924
Algeria,tsunami,20.0,nonpoor,,0.10000000000000002
Algeria,tsunami,20.0,poor,,0.5503924
Algeria,tsunami,50.0,nonpoor,,0.10000000000000002
Algeria,tsunami,50.0,poor,,0.5503924
Algeria,tsunami,100.0,nonpoor,,0.10000000000000002
Algeria,tsunami,100.0,poor,,0.5503924
Algeria,tsunami,250.0,nonpoor,,0.10000000000000002
Algeria,tsunami,250.0,poor,,0.5503924
Algeria,tsunami,500.0,nonpoor,,0.10000000000000002
Algeria,tsunami,500.0,poor,,0.5503924
Algeria,tsunami,1000.0,nonpoor,,0.10000000000000002
Algeria,tsunami,1000.0,poor,,0.5503924
