country,hazard,rp,fa
Australia,wind,3.0,3.7675630714171605e-05
Australia,wind,5.0,7.849364051317415e-05
Australia,wind,10.0,0.00012072309204467812
Australia,wind,20.0,0.0002349555769809264
Austria,earthquake,0.5,6.341671657530378e-05
Austria,earthquake,1.0,0.0001771672851207628
Austria,earthquake,1.5,0.00028572915445732684
Austria,earthquake,2.0,0.0003889158630794371
Austria,earthquake,3.0,0.000552964564688269
Austria,earthquake,5.0,0.0009087996138804185
Austria,earthquake,10.0,0.0018183048781436801
Austria,earthquake,20.0,0.003888736818231641
Austria,earthquake,50.0,0.00950013244975215
Austria,earthquake,100.0,0.018902582090143078
Austria,earthquake,250.0,0.03542183977596265
Austria,earthquake,500.0,0.058093940289282116
Austria,earthquake,1000.0,0.08777824654305497
Austria,earthquake,1500.0,0.10098501968747818
Austria,earthquake,2000.0,0.11757659662456393
Austria,earthquake,4000.0,0.25403805666651014
Austria,earthquake,5000.0,0.2807546703245635
Austria,flood,1.5,1.1368639768454701e-07
Austria,flood,2.0,4.632278812900617e-07
Austria,flood,3.0,4.3927748657597575e-06
Austria,flood,5.0,7.950138119845339e-05
Austria,flood,10.0,0.000422220033786579
Austria,flood,20.0,0.0023122565378988842
Austria,flood,50.0,0.013615110442354804
Austria,flood,100.0,0.034585509150404946
Austria,flood,250.0,0.13910197314364708
Austria,flood,500.0,0.1863506140144777
Austria,flood,1000.0,0.24937033053681756
Austria,flood,1500.0,0.34139544539031935
Austria,flood,2000.0,0.3858019898647773
Austria,flood,4000.0,0.45137281215206326
Austria,flood,5000.0,0.4638697681291503
Austria,flood,30000.0,0.5022158883917752
Azerbaijan,earthquake,0.5,0.000575763039881081
Azerbaijan,earthquake,1.0,0.0014627740871415882
Azerbaijan,earthquake,1.5,0.0023103364203128146
Azerbaijan,earthquake,2.0,0.0029259432262876838
Azerbaijan,earthquake,3.0,0.003712429034099289
Azerbaijan,earthquake,5.0,0.006622812284463224
Azerbaijan,earthquake,10.0,0.011116131924781543
Azerbaijan,earthquake,20.0,0.022994592941601114
Azerbaijan,earthquake,50.0,0.04525209614051969
Azerbaijan,earthquake,100.0,0.08043346585824351
Azerbaijan,earthquake,250.0,0.1306071451243853
Azerbaijan,earthquake,500.0,0.1866769060177998
Azerbaijan,earthquake,1000.0,0.2641290925902792
