country,gdp_pc_pp,pop,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax
Germany,44072.3921575,82667685.0,0.7551,41936.0585755,3.0,0.2,1.5,0.06,0.8,0.05,0.8,2,0.27301744639675013,1.0,0.4044183491969999
Ghana,3980.20210607,28206728.0,0.54682,1513.46103433,3.0,0.2,1.5,0.06,0.8,0.05,0.8,2,0.40793501657637044,1.0,0.173211340336688
Greece,24263.878126400003,10746740.0,0.7832899999999999,18103.9693224,3.0,0.2,1.5,0.06,0.8,0.05,0.8,2,0.23679175031633581,1.0,0.489918763898
Guatemala,7366.76847953,16582469.0,0.5203,4146.74412863,3.0,0.2,1.5,0.06,0.8,0.05,0.4666666666666667,2,0.6475627728005022,1.0,0.039653252819179204
Guinea,1215.0253768,12395924.0,0.37651,508.145078427,3.0,0.2,1.5,0.06,0.8,0.05,0.6,2,0.3510694892836516,1.0,0.07313616735048091
Guinea-Bissau,1466.26769456,1815698.0,0.5009399999999999,620.214764744,3.0,0.2,1.5,0.06,0.8,0.05,0.2,2,0.4231887629374076,1.0,0.09025000656517371
Guyana,7248.23018348,773303.0,0.28661,4456.55369735,3.0,0.2,1.5,0.06,0.8,0.05,0.0,2,0.3808481921743437,1.0,0.12710520740181663
Haiti,1653.96184811,10847334.0,0.5979399999999999,739.595436254,3.0,0.2,1.5,0.06,0.8,0.05,0.5333333333333333,2,0.1333669537730951,1.0,0.014111937560084798
Honduras,4392.26594676,9112867.0,0.55315,2361.15761951,3.0,0.2,1.5,0.06,0.8,0.05,0.33333333333333337,2,0.3635926941047578,1.0,0.13940686982645198
Hungary,25381.287915099998,9817958.0,0.71672,12664.8474351,3.0,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,2,0.22126941170098394,1.0,0.5550896519999999
India,6092.64809658,1324171354.0,0.33136,1709.3879212000002,3.0,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,2,0.4525301642355351,1.0,0.11899022153989995
Indonesia,10764.547997299998,261115456.0,0.54466,3570.29488812,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,2,0.30997681866727844,1.0,0.1252372344201611
"Iran, Islamic Rep.",16010.111441799998,80277428.0,0.73879,4957.58127646,3.0,0.2,1.5,0.06,0.8,0.05,0.6,2,0.31799517747918205,1.0,0.13820058166540267
Iraq,16086.918058700001,37202572.0,0.69592,4609.60069352,3.0,0.2,1.5,0.06,0.8,0.05,0.2,2,0.5840924714508963,1.0,0.113976777352952
Ireland,62828.3391656,4773095.0,0.63535,61606.482939400004,3.0,0.2,1.5,0.06,0.8,0.05,0.0,2,0.31125054927451323,1.0,0.507319113588
Israel,32612.6885764,8547100.0,0.92205,37292.612217300004,3.0,0.2,1.5,0.06,0.8,0.05,0.0,2,0.3584782813615938,1.0,0.17843700015548483
Italy,34620.1293634,60600590.0,0.69116,30527.268202999996,3.0,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,2,0.2046119687179293,1.0,0.41496272909000004
Jamaica,8190.00090508,2881355.0,0.5503,4868.24826261,3.0,0.2,1.5,0.06,0.8,0.05,0.6,2,0.38100911347268046,1.0,0.15374309180560902
Japan,38239.7712872,126994511.0,0.9392799999999999,38894.4677292,3.0,0.2,1.5,0.06,0.8,0.05,0.8,2,0.21044253355545398,1.0,0.2110869534891097
Jordan,8389.54333613,9455802.0,0.83905,4087.93751672,3.0,0.2,1.5,0.06,0.8,0.05,0.4666666666666667,2,0.17572272222131016,1.0,0.20623857279742397
