country,macro_gdp_pc_pp,macro_pop,macro_urbanization_rate,macro_prepare_scaleup,macro_borrow_abi,macro_avg_prod_k,macro_T_rebuild_K,macro_pi,macro_income_elast,macro_rho,macro_shareable,macro_max_increased_spending,macro_fa_glofris,macro_protection,macro_tau_tax,n_cat_info__nonpoor,n_cat_info__poor,c_cat_info__nonpoor,c_cat_info__poor,axfin_cat_info__nonpoor,axfin_cat_info__poor,gamma_SP_cat_info__nonpoor,gamma_SP_cat_info__poor,k_cat_info__nonpoor,k_cat_info__poor,fa_cat_info__nonpoor,fa_cat_info__poor,v_cat_info__nonpoor,v_cat_info__poor,shew_cat_info__nonpoor,shew_cat_info__poor,shew_for_hazard_ratio,hazard_ratio_fa__earthquake,hazard_ratio_fa__flood,hazard_ratio_fa__surge,hazard_ratio_fa__tsunami,hazard_ratio_fa__wind,hazard_ratio_flood_poor,ratio_surge_flood
Denmark,42482.7324552521,5614932.0,0.87676,0.7333333333333333,0.9166666666666669,0.2301060640275852,3,0.2,1.5,0.06,0.8,0.05,0.006072226335407568,1.0,0.38302841117809994,0.8,0.2,48255.07372760948,19393.36736582258,0.6474435000000001,0.4418965999999999,1.048342222232479,0.8066311110700847,219740.73328990175,44149.037721770095,0.0004073094123660628,0.00045042310185143157,0.25,0.2999999999999999,0.6400000000000003,0.6400000000000003,0.8000000000000002,0.0,5.611434119050659e-05,0.0,0.0,0.0,6.205404257798454e-05,0.0
Djibouti,2902.5462446952697,872932.0,0.7734300000000001,0.6,0.25,0.2605986206727131,3,0.2,1.5,0.06,0.8,0.05,0.006169676099266541,1.0,0.09772496898379668,0.8,0.2,3409.403382675181,875.1176927756238,0.04367659,0.01797438,1.029509150197479,0.8819633992100837,13258.028505407738,2657.8631010912272,0.024057743187943785,0.024107266189367076,0.2919383715793353,0.6224866506129807,0.4800000000000001,0.4800000000000001,0.6000000000000001,0.0019936215360105533,0.00014559462298854755,0.0,0.0,0.0,0.0001610058096090671,0.0
Dominican Republic,11795.4705790204,10403761.0,0.7898000000000001,0.6,0.5083333333333333,0.3771503990888722,3,0.2,1.5,0.06,0.8,0.05,0.03484973710414988,1.0,0.121321382012562,0.8,0.2,14005.646878764346,2954.7653800446105,0.2295297,0.05700692,1.1510218599978763,0.3959125600084948,37292.42430903282,7206.520414919112,0.10253382777453916,0.1016749970798718,0.2999999999999999,0.3489973692170465,0.6400000000000003,0.6400000000000003,0.8000000000000002,0.005950626057595436,0.0014359395605137975,0.0006628047655570179,0.0,0.008326657222319215,0.0013758313206297587,0.4615826346617665
Ecuador,10540.6573666533,15737878.0,0.63742,0.8,0.4583333333333333,0.25747347179967145,3,0.2,1.5,0.06,0.8,0.05,0.06925596070902182,1.0,0.17818828830274655,0.8,0.2,12609.261374859008,2266.241333830459,0.17696589999999998,0.09387966,1.1657520576178706,0.33699176952851745,49243.765807530996,7718.9833638201335,0.023576073585864242,0.025117960726128225,0.6764212741773349,0.6999999999999997,0.4800000000000001,0.4800000000000001,0.6000000000000001,0.006520974966794513,0.0009327454582610045,0.0,1.1696254124257092e-05,0.0,0.0012195621558881902,0.0
"Egypt, Arab Rep.",10733.488722812801,82056378.0,0.43135,0.6666666666666667,0.4583333333333333,0.4927783418827425,3,0.2,1.5,0.06,0.8,0.05,0.2004021134886876,1.0,0.11750811006569907,0.8,0.2,12175.801269940772,4964.23853430092,0.01016893,0.002091735,1.1514730056066735,0.3941079775733053,24658.88511192765,10272.337705007121,0.006387351477210574,0.010271751075922772,0.5499999999999999,0.6999999999999998,0.4800000000000001,0.4800000000000001,0.6000000000000001,0.0005083407942935331,0.0002093309368714995,0.0,2.4483117961452234e-05,0.0,0.0005073798968874266,0.0
El Salvador,7515.082656377621,6340454.0,0.6672600000000001,0.6666666666666667,0.5083333333333333,0.13424357530792413,3,0.2,1.5,0.06,0.8,0.05,0.00899717179647867,1.0,0.17776823220480018,0.8,0.2,8858.403681205122,2141.798557067622,0.18161670000000002,0.04984934,1.1761358886366418,0.2954564454534332,66019.1819826094,15828.013847324792,0.021684314762783933,0.02235348315838031,0.44,0.6999999999999998,0.4800000000000001,0.4800000000000001,0.6000000000000001,0.007690690843015675,0.00030237494370069653,0.0,0.0,0.0,0.00043381023438859715,0.0
Estonia,25253.7672011471,1317997.0,0.67538,0.0,0.4,0.2800603915970392,3,0.2,1.5,0.06,0.8,0.05,0.018206209318918292,1.0,0.36112345923100003,0.8,0.2,29303.840116031064,9053.475541611237,0.3582999,0.18928570000000006,1.1213119782318737,0.5147520870725052,106625.03977100039,24362.72547346757,0.015704791848262983,0.016387745013566813,0.12597759214313936,0.4342145961505898,0.0,0.0,0.0,9.245448179978574e-05,0.0044373829111335385,0.0,0.0,0.0,0.004647354519900178,0.0
Finland,38820.821824728104,5438972.0,0.84221,0.8666666666666666,0.8916666666666666,0.21799096857432496,3,0.2,1.5,0.06,0.8,0.05,0.02965226992345247,1.0,0.3572890730856,,,,,,,,,,,,,,,,,,,,,,,,
France,37216.8018998205,65939866.0,0.7951999999999999,0.7333333333333333,0.95,0.2234491797478895,3,0.2,1.5,0.06,0.8,0.05,0.0714014429531207,1.0,0.385449448517,0.8,0.2,42887.71208930565,14533.161141879904,0.5575401999999999,0.4022605,1.1242760884366327,0.5028956462534692,194870.32015863387,53298.726475157615,0.018189302674319792,0.01971808172006171,0.2394999999999999,0.5700000000000001,0.8,0.8,1.0,0.00027339766359619745,0.0010093282593372748,0.00016352343717415812,1.0049405422636729e-07,0.00034877897148606857,0.0011161656263136259,0.16201214586177112
Gabon,18646.3698144321,1671711.0,0.8715600000000001,0.5333333333333333,0.5916666666666667,0.3299123735952057,3,0.2,1.5,0.06,0.8,0.05,0.09396234844893878,1.0,0.12746510848534254,0.8,0.2,21942.11567913297,5463.386355628606,0.13129620000000006,0.01964613,1.123090545414175,0.5076378183432987,66951.96772380412,14787.922818642925,0.026570721380791983,0.05500846020004646,0.3269905140632944,0.6999999999999998,0.1600000000000001,0.1600000000000001,0.20000000000000004,6.91302884900625e-05,0.005804927535783781,0.0,0.0,0.0,0.012176189465302566,0.0
