country,income_cat,n,c,axfin,gamma_SP,k,fa,shew
Costa Rica,poor,0.2,3311.3208885105,0.1604869,0.3293569266112538,6137.942177427668,0.021356118731809967,1.0
Cote d'Ivoire,nonpoor,0.8,4064.4997550762123,0.1283048,1.1656019196679819,7065.184351253682,0.006456674468880085,0.4000000000000002
Cote d'Ivoire,poor,0.2,982.72104364515,0.02885922,0.33759232132807193,1672.292638793303,0.006307952081110208,0.4000000000000002
Croatia,nonpoor,0.8,24860.680446213126,0.292387,1.0820293939139267,110854.32155784516,0.012385417089549013,0.8000000000000004
Croatia,poor,0.2,7600.035787647499,0.2455249,0.6718824243442925,20931.186441492504,0.012873362590040805,0.8000000000000004
Cyprus,nonpoor,0.8,36030.809685486005,0.2639375,1.1177906434082276,181619.2283206528,0.023199571993812753,0.0
Cyprus,poor,0.2,11854.292364055998,0.15590479999999998,0.5288374263670893,46654.41362940961,0.023203735425583998,0.0
Czech Republic,nonpoor,0.8,35072.235974443494,0.42273649999999996,1.1396342038746883,145121.76027063598,0.007965998073937644,1.0
Czech Republic,poor,0.2,15069.797960225995,0.3099159,0.4414631845012467,67381.39502243641,0.008694699054151225,1.0
Denmark,nonpoor,0.8,51911.26804891687,0.6937743000000001,1.0489539356051694,236352.9118932757,0.00036220316883437873,0.8000000000000004
Denmark,poor,0.2,20787.3504618325,0.5787514,0.8041842575793229,47315.00490710052,0.00040213774476834314,0.8000000000000004
Djibouti,nonpoor,0.8,3731.8114150046626,0.04367659,1.066581951458877,14475.467984914867,0.02179078883616117,0.6000000000000002
Djibouti,poor,0.2,769.12201613135,0.01797438,0.7336721941644911,2330.0956572186983,0.021837472389232476,0.6000000000000002
Dominican Republic,nonpoor,0.8,16724.791500550244,0.3398572,1.1379571420744525,44599.05697160796,0.09115299359889567,0.8000000000000004
Dominican Republic,poor,0.2,3595.213346798999,0.16015629999999997,0.4481714317021898,8516.949242113553,0.09038948958746162,0.8000000000000004
Ecuador,nonpoor,0.8,12489.539333986873,0.17610920000000002,1.1669591741036631,48759.5055255152,0.02124695475996414,0.6000000000000002
Ecuador,poor,0.2,2354.0492985524997,0.09100455,0.33216330358534785,8137.109956599488,0.02261739708829775,0.6000000000000002
"Egypt, Arab Rep.",nonpoor,0.8,11725.255683871876,0.05446997,1.153094426398115,23747.196323833883,0.007603453600273575,0.6000000000000002
"Egypt, Arab Rep.",poor,0.2,4695.261902012499,0.02068763,0.38762229440753976,9716.069305959887,0.012843507913319499,0.6000000000000002
