country,income_cat,n,c,axfin,gamma_SP,k,fa,shew
Dominica,nonpoor,0.8,12206.9893803,0.44,0.9791213179545516,8469.39980351651,0.32468308528824746,0.0
Dominica,poor,0.2,1928.7550787999999,0.44,1.0835147281817934,610.6984394123095,0.33791240129772826,0.0
Dominican Republic,nonpoor,0.8,16760.038690462497,0.3398572,1.1421788441015974,44683.01571295257,0.0911278938793328,0.8000000000000004
Dominican Republic,poor,0.2,3454.2245881499994,0.16015629999999997,0.4312846235936101,8181.114279386667,0.0903646001049498,0.8000000000000004
Ecuador,nonpoor,0.8,12417.9046686875,0.17610920000000002,1.1633548947721004,48491.0131241169,0.021246658983278436,0.6000000000000002
Ecuador,poor,0.2,2449.7020752500002,0.09100455,0.34658042091159824,8469.698777734573,0.022617082233824446,0.6000000000000002
"Egypt, Arab Rep.",nonpoor,0.8,11725.255686712499,0.05446997,1.1530944263089176,23747.19633000709,0.0076064887764645825,0.6000000000000002
"Egypt, Arab Rep.",poor,0.2,4695.261903149999,0.02068763,0.38762229476432974,9716.069306633432,0.012848634834778732,0.6000000000000002
El Salvador,nonpoor,0.8,9398.234272369999,0.2072156,1.1863991636242528,69861.19908201451,0.01923097255085014,0.6000000000000002
El Salvador,poor,0.2,2357.04919052,0.0411891,0.25440334550298865,18148.486541262417,0.019824431887167124,0.6000000000000002
Estonia,nonpoor,0.8,32501.975952499997,0.3648965,1.115597341427031,118365.44985848924,0.016054063254850263,0.0
Estonia,poor,0.2,10541.181389999998,0.24340720000000002,0.5376106342918765,28390.9773850762,0.016656991089223465,0.0
Ethiopia,nonpoor,0.8,1877.6826332299997,0.1639884,1.144033937920317,4976.806907507748,0.01054674819851652,0.8000000000000004
Ethiopia,poor,0.2,530.7368470800001,0.09488185,0.4238642483187311,1359.9598541029939,0.0069345420883896456,0.8000000000000004
Fiji,nonpoor,0.8,9756.59016948,0.6,1.110292618161369,29195.47553159408,0.11634146993580463,1.0
Fiji,poor,0.2,3209.9604020799993,0.6,0.5588295273545235,8869.446395541707,0.11297723953756832,1.0
France,nonpoor,0.8,43817.834766825,0.5990517,1.122863009275521,199131.64377692682,0.015957223075173277,1.0
France,poor,0.2,15034.1322327,0.4053758,0.5085479628979154,55145.70005891243,0.01737424553342194,1.0
Gabon,nonpoor,0.8,19765.515847799998,0.24289940000000002,1.1241142576184826,60303.85685163893,0.019634810886401646,0.2000000000000001
Gabon,poor,0.2,4867.9402088,0.08577912,0.5035429695260693,13185.469065972566,0.04064928075158907,0.2000000000000001
Georgia,nonpoor,0.8,10819.02863089875,0.008063393,1.1061232802782208,31837.463916355337,0.05931856577947071,0.6000000000000002
Georgia,poor,0.2,3107.7166914050003,0.01164885,0.5755068788871167,336.02730592897626,0.05999517901794764,0.6000000000000002
Germany,nonpoor,0.8,51121.27853382501,0.6140809,1.094490686392932,193624.4009438823,0.009816758073521446,0.8000000000000004
Germany,poor,0.2,17299.1745147,0.5265064,0.6220372544282718,37847.14406780887,0.010510568971947245,0.8000000000000004
Ghana,nonpoor,0.8,4706.588990345,0.2321198,1.0061650235322845,11898.036147904933,0.003771480588952216,0.8000000000000004
Ghana,poor,0.2,1074.6545686200002,0.1174127,0.9753399058708615,1192.612100808711,0.004516518566334925,0.8000000000000004
Greece,nonpoor,0.8,28493.470931112497,0.16323,1.192105367812764,118773.44754646554,0.06193571684386237,1.0
Greece,poor,0.2,7146.077725550001,0.0654293,0.23157852874894386,36410.35338414375,0.06207053960463205,1.0
Guatemala,nonpoor,0.8,8794.079872999999,0.2047981,1.0927804006661896,13627.795174592397,0.05686214979984785,0.4000000000000002
Guatemala,poor,0.2,1657.5229079999997,0.06985804,0.6288783973352412,2369.548007984827,0.06214476117586902,0.4000000000000002
Guinea,nonpoor,0.8,2105.9563001399997,0.044386400000000006,1.224992096212182,5970.003918832424,0.008079835219474356,0.6000000000000002
Guinea,poor,0.2,692.8687394399998,0.0054247290000000005,0.10003161515127154,2088.3302455943394,0.009834770211986782,0.6000000000000002
Guinea-Bissau,nonpoor,0.8,1780.69533139375,0.0002,1.2060049540475468,4203.518632334276,0.00418003125430345,0.2000000000000001
Guinea-Bissau,poor,0.2,335.62843942499995,0.0002,0.17598018380981229,810.2350417162945,0.004473700172259873,0.2000000000000001
Guyana,nonpoor,0.8,8674.187746468748,0.68,1.1412457164319647,22921.839855259448,0.042051222359334665,0.0
Guyana,poor,0.2,1634.9254391249997,0.68,0.4350171342721406,3709.3817780596532,0.06606312586582319,0.0
Haiti,nonpoor,0.8,1953.74243295,0.12755239999999998,1.1998446326513026,14646.0725649552,0.2096786318902968,0.6000000000000002
Haiti,poor,0.2,454.8395082,0.04369855,0.20062146939478936,3423.6435351574028,0.22277297257648246,0.6000000000000002
Honduras,nonpoor,0.8,5314.641795869999,0.1964441,1.1757247746209143,14683.81730611304,0.05057471527764967,0.4000000000000002
Honduras,poor,0.2,702.76255152,0.06635398,0.2971009015163429,1665.6411653273613,0.05211412669320876,0.4000000000000002
Hungary,nonpoor,0.8,29577.916740000004,0.2304348,1.0899740897623416,142750.21958606367,0.03151808663207275,1.0
Hungary,poor,0.2,10009.01304,0.1423596,0.6401036409506339,8928.715238288256,0.03889313585445867,1.0
India,nonpoor,0.8,6983.69788118625,0.18833629999999998,1.074368802678621,15563.266397306474,0.004772864432565895,0.8000000000000004
India,poor,0.2,2528.448960255,0.07480032,0.7025247892855163,5064.525352942419,0.005100755407046798,0.8000000000000004
Indonesia,nonpoor,0.8,12486.87568,0.3511817,1.0835565390321888,40663.31464666038,0.020460640350976524,0.8000000000000004
Indonesia,poor,0.2,3875.2372800000007,0.1379658,0.6657738438712437,10981.467491930242,0.020127889418401997,0.8000000000000004
"Iran, Islamic Rep.",nonpoor,0.8,21665.404197962496,0.2603003,1.0937452302604551,68854.21922883879,0.014086273323945374,0.4000000000000002
"Iran, Islamic Rep.",poor,0.2,5826.76825815,0.1516682,0.6250190789581803,15431.511991595651,0.01449608127099206,0.4000000000000002
Iraq,nonpoor,0.8,18339.086588399998,0.03651581,1.1249677724876994,31450.83211061367,0.016127135024084662,0.6000000000000002
Iraq,poor,0.2,7078.2439464,0.033137599999999996,0.5001289100492016,11905.32940105256,0.019310382573519726,0.6000000000000002
Ireland,nonpoor,0.8,72875.453703675,0.5566727,1.0968175885876217,245536.7962844288,0.008708794009962337,0.0
Ireland,poor,0.2,25003.955885299998,0.40051929999999997,0.6127296456495123,34737.03060981083,0.009614262816876211,0.0
Israel,nonpoor,0.8,38940.066149125,0.6097891,1.0932522782033902,110566.85756033876,0.006026560614601165,0.0
Israel,poor,0.2,7681.7759035,0.4204639,0.6269908871864386,13665.464435568301,0.006033022002165367,0.0
Italy,nonpoor,0.8,40685.5944796,0.44066890000000003,1.1692501198879177,199233.61265251364,0.013674794639191022,1.0
Italy,poor,0.2,10756.958881600001,0.20171340000000001,0.32299952044832936,51008.794778390555,0.013916870195247344,1.0
Jamaica,nonpoor,0.8,9682.625577474999,0.3520919,1.1351534967410017,25602.645501828385,0.09203442246258972,0.8000000000000004
Jamaica,poor,0.2,2167.5993900999997,0.21472039999999998,0.45938601303599236,4930.949346719317,0.09324754812621247,0.8000000000000004
Japan,nonpoor,0.8,44277.038569549986,0.6250876999999999,0.9972538092796331,218193.37092388654,0.028271416051328917,0.8000000000000004
Japan,poor,0.2,14153.3514218,0.5732915,1.0109847628814677,36080.36095558936,0.029285948816963375,0.8000000000000004
Jordan,nonpoor,0.8,9627.071248664999,0.05062747,1.1269726833232263,55040.219389335485,0.0065216837234177445,0.6000000000000002
Jordan,poor,0.2,3439.737875339999,0.01797048,0.492109266707094,18556.24644196348,0.006549799454541808,0.6000000000000002
Kazakhstan,nonpoor,0.8,26377.3856925,0.1153157,1.0824581456260591,79948.85508188594,0.025083582329589127,0.8000000000000004
Kazakhstan,poor,0.2,11723.28253,0.02605716,0.6701674174957633,34842.19779397181,0.027287961256041906,0.8000000000000004
Kenya,nonpoor,0.8,3485.12209237625,0.4164474,1.2046219337021318,7521.44567437286,0.004639731127777076,0.4000000000000002
Kenya,poor,0.2,687.516215495,0.1333483,0.18151226519147173,1510.890782537698,0.00759624306845239,0.4000000000000002
Kiribati,nonpoor,0.8,2282.6438396024996,0.0,1.1647459110901046,8040.7351571939025,0.001300149613703875,0.0
Kiribati,poor,0.2,645.2012565900001,0.0,0.34101635563958116,2264.92019350908,0.001300149613703875,0.0
"Korea, Rep.",nonpoor,0.8,40539.8529111375,0.6404361999999999,1.0226672556743923,175492.9535947692,0.03210337952980487,1.0
"Korea, Rep.",poor,0.2,12769.835005449999,0.3633893,0.9093309773024305,36769.563140739345,0.03543838722914717,1.0
Kyrgyz Republic,nonpoor,0.8,3705.413621625,0.0561118,1.091495454490235,7203.316597997309,0.06667653564512724,0.8000000000000004
Kyrgyz Republic,poor,0.2,1646.8504985,0.03731649,0.6340181820390598,2843.197410216897,0.0668395061178478,0.8000000000000004
Lao PDR,nonpoor,0.8,7014.573367725001,0.2385275,1.2219256315570572,28127.45796180367,0.059108524460250125,0.6000000000000002
Lao PDR,poor,0.2,2307.8250041,0.1325088,0.11229747377177077,10281.333763032208,0.05048113184541487,0.6000000000000002
Latvia,nonpoor,0.8,27554.736464449998,0.2983719,1.037743970921779,119363.93780386388,0.049781618163807086,0.0
Latvia,poor,0.2,8423.622342199998,0.185183,0.849024116312884,18189.541675943557,0.040232780686689756,0.0
Lebanon,nonpoor,0.8,15274.653412124999,0.2486327,1.1321144796189864,91264.2693764,0.012295227867150767,0.6000000000000002
Lebanon,poor,0.2,5240.814851499999,0.06085023,0.4715420815240552,30626.88544557517,0.012362797420524298,0.6000000000000002
Lesotho,nonpoor,0.8,3324.6711974249997,0.1136827,1.2236656497551985,16678.492565482054,0.01215876541961299,0.4000000000000002
Lesotho,poor,0.2,383.0896852999999,0.02873374,0.10533740097920545,1965.4662441466678,0.011532663786190672,0.4000000000000002
Liberia,nonpoor,0.8,869.41682602125,0.20074909999999999,1.2152277068622774,1826.025149818139,0.010743978798813726,0.0
Liberia,poor,0.2,290.11959091499995,0.0449625,0.13908917255089037,669.8478436680792,0.010774936689128854,0.0
Lithuania,nonpoor,0.8,32799.0529971,0.3604111,1.0707658342263315,109643.90685160829,0.01834823179296378,0.0
Lithuania,poor,0.2,8522.8636116,0.16736099999999998,0.716936663094674,7861.937583879948,0.020371209278633267,0.0
Luxembourg,nonpoor,0.8,109277.7537264,0.6614446999999999,1.1335495459984213,446308.0308403311,0.004732870509912735,0.0
Luxembourg,poor,0.2,37493.7786944,0.5098123999999999,0.4658018160063143,134452.08109252405,0.005082099602809849,0.0
"Macedonia, FYR",nonpoor,0.8,15404.771155799997,0.1795803,1.0958980051711549,59880.91441328523,0.02176471299982124,0.6000000000000002
"Macedonia, FYR",poor,0.2,3655.3694267999995,0.07452801,0.6164079793153802,7791.608595126285,0.022338822285926593,0.6000000000000002
Madagascar,nonpoor,0.8,1646.32430868125,0.04567038,1.1939805082534478,5590.940289129666,0.03688258506051306,0.4000000000000002
Madagascar,poor,0.2,398.050840275,0.01404179,0.22407796698620852,1383.228396038358,0.033226010723277036,0.4000000000000002
Malawi,nonpoor,0.8,1280.24042855625,0.08640283,1.1998895803170941,5056.802426149338,0.02435011668234992,0.8000000000000004
Malawi,poor,0.2,298.045390775,0.04726892,0.20044167873162316,1185.3103153881505,0.024518443929987314,0.8000000000000004
Malaysia,nonpoor,0.8,30610.144599299998,0.3924174,1.1131926371885639,122685.82615985154,0.019664296247751848,1.0
Malaysia,poor,0.2,5903.843402799999,0.255594,0.5472294512457437,21417.336128853294,0.021642245946048983,1.0
